,Unnamed: 0,Tipo,Título,Año,Mes,ID
0,0,Movie,U-571,2000.0,9.0,tt0141926
1,1,Movie,Knockout,2000.0,2.0,tt0143344
2,2,Movie,Highlander: Endgame,2000.0,9.0,tt0144964
3,3,Movie,Sinbad: Beyond the Veil of Mists,2000.0,2.0,tt0144608
4,4,Movie,Shafted!,2000.0,3.0,tt0147486
5,5,Movie,Josh,2000.0,6.0,tt0151150
6,6,Movie,Yup Yup Man,2005.0,1.0,tt0157202
7,7,Movie,The Art of War,2001.0,1.0,tt0160009
8,8,Movie,Charlie's Angels,2000.0,12.0,tt0160127
9,9,Movie,Shaft,2000.0,11.0,tt0162650
10,10,Movie,Hollow Man,2000.0,8.0,tt0164052
11,11,Movie,Black Sea 213,2000.0,4.0,tt0165642
12,12,Movie,Nautilus,2000.0,4.0,tt0165400
13,13,Movie,Romeo Must Die,2000.0,8.0,tt0165929
14,14,Movie,Red Team,2000.0,6.0,tt0167367
15,15,Movie,Dream Witch,2000.0,5.0,tt0168714
16,16,Movie,A Better Way to Die,2001.0,9.0,tt0168504
17,17,Movie,Prince of Central Park,2000.0,12.0,tt0170452
18,18,Movie,Gladiator,2000.0,5.0,tt0172495
19,19,Movie,The Thundering 8th,2000.0,0.0,tt0171827
20,20,Movie,Alex l'ariete,2000.0,7.0,tt0172109
21,21,Movie,The Million Dollar Kid,2001.0,4.0,tt0172464
22,22,Movie,Delta Force One: The Lost Patrol,2000.0,10.0,tt0176650
23,23,Movie,Bullfighter,2000.0,10.0,tt0176579
24,24,Movie,The Perfect Storm,2000.0,9.0,tt0177971
25,25,Movie,Fortress 2,2000.0,3.0,tt0179183
26,26,Movie,Mondialito,2001.0,1.0,tt0179987
27,27,Movie,Icebreaker,2000.0,5.0,tt0179861
28,28,Movie,The Grizzly Six,2000.0,0.0,tt0179204
29,29,Movie,Intrepid,2000.0,4.0,tt0183280
30,30,Movie,The Specials,2000.0,9.0,tt0181836
31,31,Movie,Taxi 2,2001.0,1.0,tt0183869
32,32,Movie,Reindeer Games,2000.0,10.0,tt0184858
33,33,Movie,Shanghai Noon,2000.0,6.0,tt0184894
34,34,Movie,"Farewell, My Love",2000.0,2.0,tt0184457
35,35,Movie,Space Cowboys,2000.0,11.0,tt0186566
36,36,Movie,The Patriot,2000.0,7.0,tt0187393
37,37,Movie,Primary Suspect,2000.0,6.0,tt0187750
38,38,Movie,Battlefield Earth,2000.0,5.0,tt0185183
39,39,Movie,Brooklyn Sonnet,2000.0,0.0,tt0187761
40,40,Movie,Gone in Sixty Seconds,2000.0,8.0,tt0187078
41,41,Movie,Point Doom,2000.0,6.0,tt0186454
42,42,Movie,Dungeons & Dragons,2001.0,4.0,tt0190374
43,43,Movie,Left Behind,2001.0,2.0,tt0190524
44,44,Movie,Wo hu cang long,2001.0,2.0,tt0190332
45,45,Movie,The Skulls,2000.0,10.0,tt0192614
46,46,Movie,Vertical Limit,2001.0,2.0,tt0190865
47,47,Movie,Lek,2000.0,4.0,tt0194104
48,48,Movie,Accelerator,2000.0,11.0,tt0193701
49,49,Movie,Newsbreak,2000.0,2.0,tt0195944
50,50,Movie,Starforce,2000.0,7.0,tt0195308
51,51,Movie,Hjärta av sten,2000.0,11.0,tt0196614
52,52,Movie,The Wrecking Crew,2000.0,3.0,tt0196219
53,53,Movie,Under Pressure,2000.0,2.0,tt0197072
54,54,Movie,Tiger Claws III,2000.0,8.0,tt0197951
55,55,Movie,Black Sea Raid,2000.0,5.0,tt0197299
56,56,Movie,Wings of the Crow,2000.0,12.0,tt0197104
57,57,Movie,Recipe for Disaster,2000.0,0.0,tt0198970
58,58,Movie,Red Planet,2001.0,2.0,tt0199753
59,59,Movie,Manhattan Chase,2000.0,11.0,tt0199748
60,60,Movie,The Cheapest Movie Ever Made,2000.0,0.0,tt0201519
61,61,Movie,Deep Core,2000.0,10.0,tt0202314
62,62,Movie,The Alternate,2000.0,4.0,tt0203835
63,63,Movie,Pilgrim,2000.0,7.0,tt0203053
64,64,Movie,The Way of the Gun,2000.0,9.0,tt0202677
65,65,Movie,Ninja Mission 2000,2000.0,0.0,tt0204499
66,66,Movie,Airboss III: The Payback,2000.0,1.0,tt0205729
67,67,Movie,Hassel/Förgörarna,2000.0,1.0,tt0208198
68,68,Movie,Airboss IV: The X Factor,2000.0,10.0,tt0207299
69,69,Movie,Chain of Command,2004.0,6.0,tt0207377
70,70,Movie,Get Carter,2001.0,9.0,tt0208988
71,71,Movie,Nostradamus,2000.0,4.0,tt0207631
72,72,Movie,The Chaos Factor,2000.0,6.0,tt0208037
73,73,Movie,The Guardian,2000.0,4.0,tt0207501
74,74,Movie,Big Momma's House,2000.0,9.0,tt0208003
75,75,Movie,Aquarius,2000.0,0.0,tt0212774
76,76,Movie,Obstacles,2000.0,0.0,tt0213127
77,77,Movie,Miss Congeniality,2001.0,3.0,tt0212346
78,78,Movie,Bait,2000.0,9.0,tt0211938
79,79,Movie,Citizen Toxie: The Toxic Avenger IV,2008.0,8.0,tt0212879
80,80,Movie,Ground Zero,2000.0,5.0,tt0213690
81,81,Movie,Last Stand,2000.0,0.0,tt0212881
82,82,Movie,Doomsdayer,2000.0,9.0,tt0214638
83,83,Movie,Gong yuan 2000 AD,2000.0,2.0,tt0214728
84,84,Movie,Faith and the Water Dog,2000.0,0.0,tt0214683
85,85,Movie,The Last Patrol,2000.0,4.0,tt0214871
86,86,Movie,O Dia da Caça,2000.0,6.0,tt0215715
87,87,Movie,The 6th Day,2000.0,12.0,tt0216216
88,88,Movie,Total western,2000.0,7.0,tt0216750
89,89,Movie,Vampire Hunter D: Bloodlust,2000.0,10.0,tt0216651
90,90,Movie,Turn It Up,2000.0,9.0,tt0216772
91,91,Movie,Militia,2005.0,,tt0217654
92,92,Movie,Mrs. Death 2: Hells Fury,2000.0,10.0,tt0216926
93,93,Movie,Agent Red,2000.0,12.0,tt0218080
94,94,Movie,Dracula 2000,2001.0,6.0,tt0219653
95,95,Movie,Submerged,2000.0,8.0,tt0218641
96,96,Movie,La máscara de Zorro,2000.0,0.0,tt0219169
97,97,Movie,Pukar,2000.0,2.0,tt0218533
98,98,Movie,Blue Shirts,2000.0,0.0,tt0220336
99,99,Movie,Daybreak,2000.0,12.0,tt0219640
100,100,Movie,G-Men from Hell,2000.0,12.0,tt0221197
101,101,Movie,Khauff,2000.0,3.0,tt0220596
102,102,Movie,Mach 2,2000.0,6.0,tt0222020
103,103,Movie,Operation Delta Force 5: Random Fire,2000.0,,tt0227200
104,104,Movie,Ojos que no ven,2000.0,5.0,tt0226238
105,105,Movie,Proof of Life,2001.0,3.0,tt0228750
106,106,Movie,Ultraman Tiga: The Final Odyssey,2000.0,0.0,tt0228982
107,107,Movie,Tha Eastsidaz,2000.0,8.0,tt0229362
108,108,Movie,Blue Belgium,2000.0,,tt0230049
109,109,Movie,Bulandi,2000.0,1.0,tt0230055
110,110,Movie,The Last Man,2002.0,2.0,tt0231956
111,111,Movie,Mela,2000.0,1.0,tt0232079
112,112,Movie,Future Murder,2000.0,8.0,tt0233764
113,113,Movie,Epicenter,2001.0,3.0,tt0233656
114,114,Movie,Command Approved,2000.0,0.0,tt0234321
115,115,Movie,Kaho Naa... Pyaar Hai,2000.0,1.0,tt0234000
116,116,Movie,Inte bara mördare,2000.0,5.0,tt0235485
117,117,Movie,Gekijô-ban poketto monsutâ: Kesshô-tô no teiô,2001.0,5.0,tt0235679
118,118,Movie,Isola: Tajuu jinkaku shôjo,2000.0,1.0,tt0233910
119,119,Movie,Blinkende lygter,2000.0,11.0,tt0236027
120,120,Movie,Dong jing gong lüe,2000.0,1.0,tt0233600
121,121,Movie,Dora-heita,2000.0,5.0,tt0236167
122,122,Movie,Brat 2,2000.0,5.0,tt0238883
123,123,Movie,Monday,2001.0,5.0,tt0239655
124,124,Movie,Castle Rock,2000.0,,tt0240400
125,125,Movie,Hera Pheri,2000.0,3.0,tt0242519
126,126,Movie,Never Look Back,2000.0,0.0,tt0244095
127,127,Movie,Mercy Streets,2000.0,10.0,tt0243415
128,128,Movie,Crackerjack 3,2003.0,3.0,tt0243196
129,129,Movie,Supêsutoraberâzu,2000.0,4.0,tt0243573
130,130,Movie,Ides of March,2007.0,2.0,tt0243327
131,131,Movie,Kuet chin chi gam ji din,2000.0,2.0,tt0243876
132,132,Movie,Solid Cover,2000.0,0.0,tt0246241
133,133,Movie,Pierwszy milion,2000.0,4.0,tt0244715
134,134,Movie,Warpath,2000.0,0.0,tt0246323
135,135,Movie,Wilder,2000.0,11.0,tt0246332
136,136,Movie,Yau ching sui yuet: San Gai goo si,2000.0,3.0,tt0244884
137,137,Movie,Bad Guys,2000.0,0.0,tt0246446
138,138,Movie,Mission Kashmir,2000.0,10.0,tt0248185
139,139,Movie,Mehanizam,2001.0,1.0,tt0246776
140,140,Movie,Split Intent,2000.0,0.0,tt0247718
141,141,Movie,Badal,2000.0,2.0,tt0247944
142,142,Movie,Je li jasno prijatelju?,2000.0,11.0,tt0250445
143,143,Movie,Hum To Mohabbat Karega,2000.0,5.0,tt0249588
144,144,Movie,Take It to the Limit,2000.0,0.0,tt0251422
145,145,Movie,Shun liu ni liu,2000.0,10.0,tt0251433
146,146,Movie,Bichhoo,2000.0,7.0,tt0252277
147,147,Movie,Dak ging san yan lui 2,2000.0,12.0,tt0251094
148,148,Movie,Jungle,2000.0,7.0,tt0251756
149,149,Movie,Kouravudu,2000.0,7.0,tt0250476
150,150,Movie,Kumite,2000.0,0.0,tt0253193
151,151,Movie,Game Day,2000.0,0.0,tt0255189
152,152,Movie,Kurukshetra,2000.0,11.0,tt0255309
153,153,Movie,Gojira tai Megagirasu: Jî shômetsu sakusen,2000.0,12.0,tt0255198
154,154,Movie,Burisuta,2000.0,7.0,tt0255019
155,155,Movie,Hamara Dil Aapke Paas Hai,2000.0,8.0,tt0255212
156,156,Movie,El viaje de Arián,2001.0,5.0,tt0255679
157,157,Movie,Khiladi 420,2000.0,12.0,tt0255305
158,158,Movie,Aaghaaz,2000.0,10.0,tt0254927
159,159,Movie,Deewane,2000.0,8.0,tt0255097
160,160,Movie,Sensitive New Age Killer,2001.0,5.0,tt0256375
161,161,Movie,Manoharam,2000.0,0.0,tt0258785
162,162,Movie,Gung Fu: The New Dragon,2000.0,0.0,tt0258604
163,163,Movie,Cheung wong,2000.0,5.0,tt0258489
164,164,Movie,Enduro Bojz,2000.0,9.0,tt0258552
165,165,Movie,The Operative,2000.0,12.0,tt0258862
166,166,Movie,Jong gwai lei: Huet gwong ji zoi,2000.0,7.0,tt0259023
167,167,Movie,Digimon: The Movie,2000.0,10.0,tt0259974
168,168,Movie,Gojô reisenki: Gojoe,2000.0,10.0,tt0260054
169,169,Movie,The Price of Air,2000.0,9.0,tt0261199
170,170,Movie,Gongdong gyeongbi guyeok JSA,2000.0,9.0,tt0260991
171,171,Movie,Oi yue shing,2000.0,9.0,tt0261125
172,172,Movie,Jinji pojiang,2006.0,11.0,tt0262529
173,173,Movie,Chek,2000.0,0.0,tt0262329
174,174,Movie,Blind Target,2000.0,0.0,tt0260758
175,175,Movie,Bangkok Dangerous,2002.0,1.0,tt0263101
176,176,Movie,The Black Rose,2000.0,0.0,tt0265088
177,177,Movie,Deep Six,2000.0,4.0,tt0263256
178,178,Movie,Lagarista,2000.0,9.0,tt0264778
179,179,Movie,Batoru rowaiaru,2000.0,12.0,tt0266308
180,180,Movie,Howaitoauto,2000.0,8.0,tt0266048
181,181,Movie,Lei ting zhan jing,2002.0,5.0,tt0266408
182,182,Movie,"No Deposit, No Return",2000.0,0.0,tt0267784
183,183,Movie,Jukgeona hokeun nabbeugeona,2000.0,7.0,tt0267622
184,184,Movie,Oro diablo,2000.0,6.0,tt0268255
185,185,Movie,El camino,2000.0,8.0,tt0269043
186,186,Movie,Fah talai jone,2002.0,1.0,tt0269217
187,187,Movie,Escaflowne,2000.0,6.0,tt0270933
188,188,Movie,Champion,2000.0,12.0,tt0270880
189,189,Movie,Mong min ji to,2000.0,10.0,tt0271641
190,190,Movie,Papá es un ídolo,2000.0,6.0,tt0271701
191,191,Movie,Xiang si chen xianzai,2000.0,4.0,tt0270271
192,192,Movie,Ikíngut,2002.0,1.0,tt0271003
193,193,Movie,Highway 395,2000.0,11.0,tt0270989
194,194,Movie,Bhai Thakur,2000.0,0.0,tt0271996
195,195,Movie,Raju Chacha,2000.0,12.0,tt0271748
196,196,Movie,San tau chi sai doi,2000.0,11.0,tt0272822
197,197,Movie,Blinker en het Bagbag-juweel,2000.0,12.0,tt0272010
198,198,Movie,Cyberon,2000.0,12.0,tt0273161
199,199,Movie,Dada Sahib,2000.0,0.0,tt0273516
200,200,Movie,Hakkyousuru kuchibiru,2000.0,2.0,tt0274541
201,201,Movie,Narasimham,2000.0,1.0,tt0273870
202,202,Movie,Valliettan,2000.0,0.0,tt0274188
203,203,Movie,Blood: The Last Vampire,2000.0,11.0,tt0275230
204,204,Movie,Bao li xing jing,2000.0,1.0,tt0275052
205,205,Movie,Blood and Honor,2000.0,1.0,tt0275969
206,206,Movie,Hysteric,2000.0,5.0,tt0276210
207,207,Movie,Gau geung ying ging,2000.0,3.0,tt0276154
208,208,Movie,Azaad,2000.0,9.0,tt0278274
209,209,Movie,Khoroshie i plokhie,2000.0,1.0,tt0277736
210,210,Movie,Oi ngo bit jow,2000.0,10.0,tt0278818
211,211,Movie,Versus,2002.0,2.0,tt0275773
212,212,Movie,Sang sei kuen chuk,2000.0,1.0,tt0277289
213,213,Movie,Bichunmoo,2000.0,7.0,tt0278351
214,214,Movie,Fatal Conflict,2000.0,11.0,tt0279809
215,215,Movie,Ostatnia misja,2000.0,3.0,tt0281019
216,216,Movie,Anakiseuteu Anarchists,2000.0,4.0,tt0280427
217,217,Movie,Epoch of Lotus,2000.0,0.0,tt0282466
218,218,Movie,Mark Antony,2000.0,0.0,tt0282723
219,219,Movie,Hong qiang dao ying,2000.0,4.0,tt0280945
220,220,Movie,The Gang,2000.0,0.0,tt0282513
221,221,Movie,Pilots,2000.0,0.0,tt0282843
222,222,Movie,Adavi Chukka,2000.0,7.0,tt0284814
223,223,Movie,Cons,2000.0,0.0,tt0284982
224,224,Movie,Bad boy dak gung,2000.0,12.0,tt0284878
225,225,Movie,Bangrajan,2000.0,12.0,tt0284880
226,226,Movie,Dead or Alive 2: Tôbôsha,2000.0,12.0,tt0285005
227,227,Movie,Pandavas: The Five Warriors,2000.0,12.0,tt0285868
228,228,Movie,A Matter of Time,2000.0,10.0,tt0286812
229,229,Movie,Plastic Boy and the Jokers,2000.0,12.0,tt0286895
230,230,Movie,Libera me,2000.0,11.0,tt0289278
231,231,Movie,Jung,2000.0,5.0,tt0289725
232,232,Movie,Biyaheng langit,2000.0,10.0,tt0291760
233,233,Movie,01412 pasasingeum,2000.0,4.0,tt0294237
234,234,Movie,Deathrow,2000.0,12.0,tt0294514
235,235,Movie,Narcosys,2000.0,7.0,tt0293445
236,236,Movie,Kilimanjaro,2000.0,5.0,tt0297231
237,237,Movie,Danjeogbiyeonsu,2000.0,11.0,tt0297071
238,238,Movie,The Prince of Light,2001.0,9.0,tt0296274
239,239,Movie,La dama de rojo,2000.0,0.0,tt0297070
240,240,Movie,Jonni Nitro,2000.0,0.0,tt0300058
241,241,Movie,Eto na naman ako,2000.0,6.0,tt0306787
242,242,Movie,Krodh,2000.0,3.0,tt0311413
243,243,Movie,Night All Day,2000.0,,tt0311582
244,244,Movie,Heukwoo,2000.0,3.0,tt0315956
245,245,Movie,Baller Blockin',2000.0,1.0,tt0315253
246,246,Movie,Gone in 60 Seconds: The Ride,2000.0,0.0,tt0315906
247,247,Movie,Baaghi,2000.0,4.0,tt0326745
248,248,Movie,Chung wah dou hap,2000.0,8.0,tt0325181
249,249,Movie,Reinkarnasi,2000.0,0.0,tt0326625
250,250,Movie,Cuenta saldada,2000.0,0.0,tt0327601
251,251,Movie,Semilla de odio,2000.0,0.0,tt0328397
252,252,Movie,36K,2000.0,1.0,tt0331160
253,253,Movie,Recompensa,2000.0,0.0,tt0330808
254,254,Movie,Ex-Con,2000.0,12.0,tt0335081
255,255,Movie,Baliktaran,2000.0,5.0,tt0334921
