,nombre,fecha_nacimiento,pais_nacimiento,activo desde,premios
100,Jennifer Garner,17 de abril de 1972 ,Estados Unidos,1992,"['Mejor actriz de serie de televisión - Drama 2002 Alias . [ 1 ] \u200b', 'Mejor actriz de televisión - Drama 2005 Alias . [ 2 ] \u200b', 'MTV Movie Award 2003: Mejor actriz revelación por Daredevil . [ 3 ] \u200b', 'MTV Movie Award 2003: Mejor actriz revelación por Daredevil . [ 3 ] \u200b']"
101,Bradley Cooper,5 de enero de 1975 ,​,1992,"['Mejor actriz de serie de televisión - Drama 2002 Alias . [ 1 ] \u200b', 'Mejor actriz de televisión - Drama 2005 Alias . [ 2 ] \u200b', 'MTV Movie Award 2003: Mejor actriz revelación por Daredevil . [ 3 ] \u200b', 'MTV Movie Award 2003: Mejor actriz revelación por Daredevil . [ 3 ] \u200b']"
102,Taylor Swift,13 de diciembre de 1989 ,Estados Unidos,1992,"['Mejor actriz de serie de televisión - Drama 2002 Alias . [ 1 ] \u200b', 'Mejor actriz de televisión - Drama 2005 Alias . [ 2 ] \u200b', 'MTV Movie Award 2003: Mejor actriz revelación por Daredevil . [ 3 ] \u200b', 'MTV Movie Award 2003: Mejor actriz revelación por Daredevil . [ 3 ] \u200b']"
103,Jamie Foxx,13 de diciembre de 1967 ,Estados Unidos,1989,"['Mejor actor 2004 Ray', 'Mejor actor - Comedia o musical 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor interpretación rap solista 2006 Gold Digger (con Kanye West )', 'Premio de la Crítica Cinematográfica al mejor actor 2004 Ray', 'Estrella del Paseo de la Fama de Hollywood Favorite Soul/R&B Male Artist Soul Train Music Award for Best R&B/Soul Album, Male (2007)']"
104,Taylor Lautner,11 de febrero de 1992 ,Estados Unidos,1989,"['Mejor actor 2004 Ray', 'Mejor actor - Comedia o musical 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor interpretación rap solista 2006 Gold Digger (con Kanye West )', 'Premio de la Crítica Cinematográfica al mejor actor 2004 Ray', 'Estrella del Paseo de la Fama de Hollywood Favorite Soul/R&B Male Artist Soul Train Music Award for Best R&B/Soul Album, Male (2007)']"
105,Madeline Carroll,18 de marzo de 1996 ,Estados Unidos,2003,"['Mejor actor 2004 Ray', 'Mejor actor - Comedia o musical 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor interpretación rap solista 2006 Gold Digger (con Kanye West )', 'Premio de la Crítica Cinematográfica al mejor actor 2004 Ray', 'Estrella del Paseo de la Fama de Hollywood Favorite Soul/R&B Male Artist Soul Train Music Award for Best R&B/Soul Album, Male (2007)']"
106,Callan McAuliffe,24 de enero de 1995 ,Australia,2004,"['Mejor actor 2004 Ray', 'Mejor actor - Comedia o musical 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor interpretación rap solista 2006 Gold Digger (con Kanye West )', 'Premio de la Crítica Cinematográfica al mejor actor 2004 Ray', 'Estrella del Paseo de la Fama de Hollywood Favorite Soul/R&B Male Artist Soul Train Music Award for Best R&B/Soul Album, Male (2007)']"
107,Morgan Lily,11 de abril de 2000 ,Estados Unidos,2002,"['Mejor actor 2004 Ray', 'Mejor actor - Comedia o musical 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor interpretación rap solista 2006 Gold Digger (con Kanye West )', 'Premio de la Crítica Cinematográfica al mejor actor 2004 Ray', 'Estrella del Paseo de la Fama de Hollywood Favorite Soul/R&B Male Artist Soul Train Music Award for Best R&B/Soul Album, Male (2007)']"
108,Israel Broussard,22 de agosto de 1994 ,Misisipi,2002,"['Mejor actor 2004 Ray', 'Mejor actor - Comedia o musical 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor interpretación rap solista 2006 Gold Digger (con Kanye West )', 'Premio de la Crítica Cinematográfica al mejor actor 2004 Ray', 'Estrella del Paseo de la Fama de Hollywood Favorite Soul/R&B Male Artist Soul Train Music Award for Best R&B/Soul Album, Male (2007)']"
109,Stefanie Scott,6 de diciembre de 1996 ,Estados Unidos,2002,"['Mejor actor 2004 Ray', 'Mejor actor - Comedia o musical 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor interpretación rap solista 2006 Gold Digger (con Kanye West )', 'Premio de la Crítica Cinematográfica al mejor actor 2004 Ray', 'Estrella del Paseo de la Fama de Hollywood Favorite Soul/R&B Male Artist Soul Train Music Award for Best R&B/Soul Album, Male (2007)']"
110,Cody Horn,12 de junio de 1988 ,Estados Unidos,2010,"['Mejor actor 2004 Ray', 'Mejor actor - Comedia o musical 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor interpretación rap solista 2006 Gold Digger (con Kanye West )', 'Premio de la Crítica Cinematográfica al mejor actor 2004 Ray', 'Estrella del Paseo de la Fama de Hollywood Favorite Soul/R&B Male Artist Soul Train Music Award for Best R&B/Soul Album, Male (2007)']"
111,Kevin Weisman,29 de diciembre de 1970 ,Estados Unidos,1994,"['Mejor actor 2004 Ray', 'Mejor actor - Comedia o musical 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor actor 2004 Ray', 'Mejor interpretación rap solista 2006 Gold Digger (con Kanye West )', 'Premio de la Crítica Cinematográfica al mejor actor 2004 Ray', 'Estrella del Paseo de la Fama de Hollywood Favorite Soul/R&B Male Artist Soul Train Music Award for Best R&B/Soul Album, Male (2007)']"
112,John Mahoney,4 de febrero de 2018 ,Estados Unidos,1994,"['Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)', 'Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)', 'Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)']"
113,Tim Sullivan,2 de julio de 1964 ,Estados Unidos,1994,"['Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)', 'Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)', 'Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)']"
114,Lin Shaye,12 de octubre de 1943 ,Estados Unidos,1994,"['Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)', 'Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)', 'Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)']"
115,Nivek Ogre,"5 de diciembre de 1962 Calgary, Alberta Canadá",Canadá,1982,"['Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)', 'Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)', 'Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)']"
116,Catherine Keener,"5 de diciembre de 1962 Calgary, Alberta Canadá",2014.,1982,"['Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)', 'Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)', 'Clarence Derwent Awards Theatre World Award (1985) Premio Tony al mejor actor de reparto en una obra de teatro (1986)']"
117,Rebecca Hall,3 de mayo de 1982 ,Reino Unido,1992,"['Premio Ian Charleson Theatre World Award (2014)', 'Premio Ian Charleson Theatre World Award (2014)']"
118,Amanda Peet,11 de enero de 1972 ,Estados Unidos,1992,"['Premio Ian Charleson Theatre World Award (2014)', 'Premio Ian Charleson Theatre World Award (2014)']"
119,Sarah Steele,16 de septiembre de 1988 ,Estados Unidos,2003,"['Premio Ian Charleson Theatre World Award (2014)', 'Premio Ian Charleson Theatre World Award (2014)']"
120,Lois Smith,3 de noviembre de 1930 ,Estados Unidos,2003,['National Society of Film Critics Award for Best Supporting Actress (1970) Drama Desk Award for Outstanding Actress in a Play (2006)']
121,Jason Mewes,12 de junio de 1974 ,Estados Unidos,1994,['National Society of Film Critics Award for Best Supporting Actress (1970) Drama Desk Award for Outstanding Actress in a Play (2006)']
122,Sunny Mabrey,28 de noviembre de 1975 ,Estados Unidos,1994,['National Society of Film Critics Award for Best Supporting Actress (1970) Drama Desk Award for Outstanding Actress in a Play (2006)']
123,Amanda Seyfried,3 de diciembre de 1985 ,Estados Unidos,1994,"['SAG-AFTRA', 'Mejor actriz de miniserie o telefilme 2022 The Dropout', 'Mejor actriz principal en serie limitada o telefilme 2022 The Dropout']"
124,Christopher Egan,29 de junio de 1984 ,Australia,2000,"['SAG-AFTRA', 'Mejor actriz de miniserie o telefilme 2022 The Dropout', 'Mejor actriz principal en serie limitada o telefilme 2022 The Dropout']"
125,Vanessa Redgrave,30 de enero de 1937 ,Reino Unido,2000,"['Tony Richardson ( matr. 1962; div. 1967) Franco Nero ( matr. 2006)', 'Mejor actriz de reparto 1977 • Julia', 'Mejor actriz de reparto 1978 • Julia Mejor actriz de reparto en una serie, miniserie o telefilme 2001 • If These Walls Could Talk 2', 'Mejor actriz de televisión 1967 BAFTA Academy Fellowship Award 2010', 'Mejor actriz de televisión 1967 BAFTA Academy Fellowship Award 2010', 'Mejor actriz de televisión 1967 BAFTA Academy Fellowship Award 2010', 'Mejor actriz - Miniserie o telefilme 1981 • Playing for Time Mejor actriz de reparto en una miniserie o telefilme 2000 • If These Walls Could Talk 2', 'Mejor actriz - Miniserie o telefilme 2000 • If These Walls Could Talk 2', ""Mejor actriz principal en una obra de teatro 2004 • Long's Day Journey into Night"", 'Mejor interpretación femenina 1966 • Morgan! 1968 • Isadora', 'Premio Donostia 1999 • Premio a la Trayectoria Profesional', 'Comendador de la Orden del Imperio británico Comendador de las Artes y las Letras Dama comendadora de la Orden del Imperio británico Drama Desk Award for Outstanding Actress in a Play Evening Standard Theatre Award for Best Actress Volpi Cup for Best Actress (1994) Dama comendadora de la Orden del Imperio británico (2022) European Film Academy Lifetime Achievement Award (2023)']"
126,Gael García Bernal,30 de noviembre de 1978 ,México,1989,"['Mejor actor de serie de televisión - Comedia o musical 2015 • Mozart in the Jungle', 'Mejor actor 2000 • Amores perros', 'Premio Marcello Mastroianni Trophée Chopard']"
127,Franco Nero,23 de noviembre de 1941 ,Italia,1989,"['Premio David de Donatello por El día de la lechuza (1968)', 'Comendador de la Orden al Mérito de la República Italiana (1992) Premio Máquina del Tiempo (2014)']"
128,Mike Myers,25 de mayo de 1963 ,Canadá,1989,"['Mejor reparto 2009 Inglourious Basterds', 'Canadian Comedy Award for Best Male Performance in a Feature Canadian Comedy Award for Best Writing in a Feature Estrella del Paseo de la Fama de Hollywood Oficial de la Orden de Canadá Premio Primetime Emmy MTV Movie Awards al mejor villano (1998 y 2000) Paseo de la Fama de Canadá (2003)', 'Canadian Comedy Award for Best Male Performance in a Feature Canadian Comedy Award for Best Writing in a Feature Estrella del Paseo de la Fama de Hollywood Oficial de la Orden de Canadá Premio Primetime Emmy MTV Movie Awards al mejor villano (1998 y 2000) Paseo de la Fama de Canadá (2003)', 'Canadian Comedy Award for Best Male Performance in a Feature Canadian Comedy Award for Best Writing in a Feature Estrella del Paseo de la Fama de Hollywood Oficial de la Orden de Canadá Premio Primetime Emmy MTV Movie Awards al mejor villano (1998 y 2000) Paseo de la Fama de Canadá (2003)']"
129,Mike Mitchell,"San Antonio , Texas Estados Unidos 9 de junio de 2011 ",años,1989,"['Mejor reparto 2009 Inglourious Basterds', 'Canadian Comedy Award for Best Male Performance in a Feature Canadian Comedy Award for Best Writing in a Feature Estrella del Paseo de la Fama de Hollywood Oficial de la Orden de Canadá Premio Primetime Emmy MTV Movie Awards al mejor villano (1998 y 2000) Paseo de la Fama de Canadá (2003)', 'Canadian Comedy Award for Best Male Performance in a Feature Canadian Comedy Award for Best Writing in a Feature Estrella del Paseo de la Fama de Hollywood Oficial de la Orden de Canadá Premio Primetime Emmy MTV Movie Awards al mejor villano (1998 y 2000) Paseo de la Fama de Canadá (2003)', 'Canadian Comedy Award for Best Male Performance in a Feature Canadian Comedy Award for Best Writing in a Feature Estrella del Paseo de la Fama de Hollywood Oficial de la Orden de Canadá Premio Primetime Emmy MTV Movie Awards al mejor villano (1998 y 2000) Paseo de la Fama de Canadá (2003)']"
130,Walt Dohrn,5 de diciembre de 1970 ,Estados Unidos,1989,"['Mejor reparto 2009 Inglourious Basterds', 'Canadian Comedy Award for Best Male Performance in a Feature Canadian Comedy Award for Best Writing in a Feature Estrella del Paseo de la Fama de Hollywood Oficial de la Orden de Canadá Premio Primetime Emmy MTV Movie Awards al mejor villano (1998 y 2000) Paseo de la Fama de Canadá (2003)', 'Canadian Comedy Award for Best Male Performance in a Feature Canadian Comedy Award for Best Writing in a Feature Estrella del Paseo de la Fama de Hollywood Oficial de la Orden de Canadá Premio Primetime Emmy MTV Movie Awards al mejor villano (1998 y 2000) Paseo de la Fama de Canadá (2003)', 'Canadian Comedy Award for Best Male Performance in a Feature Canadian Comedy Award for Best Writing in a Feature Estrella del Paseo de la Fama de Hollywood Oficial de la Orden de Canadá Premio Primetime Emmy MTV Movie Awards al mejor villano (1998 y 2000) Paseo de la Fama de Canadá (2003)']"
131,Eddie Murphy,3 de abril de 1961 ,Estados Unidos,1976,"['Estrella del Paseo de la Fama de Hollywood Premio Cecil B. DeMille Premio Saturn Premio del Sindicato de Actores Golden Raspberry Award for Worst Screenplay (1990) Globo de Oro al mejor actor de reparto (2007) Premio Grammy (2007) Premio de Mark Twain al humor estadounidense (2015) Primetime Emmy al mejor actor invitado - Serie de comedia (2020)', 'Estrella del Paseo de la Fama de Hollywood Premio Cecil B. DeMille Premio Saturn Premio del Sindicato de Actores Golden Raspberry Award for Worst Screenplay (1990) Globo de Oro al mejor actor de reparto (2007) Premio Grammy (2007) Premio de Mark Twain al humor estadounidense (2015) Primetime Emmy al mejor actor invitado - Serie de comedia (2020)']"
132,Cameron Diaz,30 de agosto de 1972 ,Estados Unidos,1976,['Estrella del Paseo de la Fama de Hollywood MTV Movie Award a la mejor actuación (1999) MTV Movie Award for Best On-Screen Duo (2001)']
133,Antonio Banderas,10 de agosto de 1960 ,España,1979,"['SAG-AFTRA', 'Mejor interpretación masculina 2019 Dolor y gloria', 'Goya de Honor 2014 Mejor actor protagonista 2019 Dolor y gloria', 'Goya de Honor 2014 Mejor actor protagonista 2019 Dolor y gloria', 'Platino de Honor 2015 Premio a la Trayectoria Profesional 2017 Premio Nacional de Cinematografía']"
134,Conrad Vernon,11 de julio de 1968 ,Estados Unidos,1979,"['SAG-AFTRA', 'Mejor interpretación masculina 2019 Dolor y gloria', 'Goya de Honor 2014 Mejor actor protagonista 2019 Dolor y gloria', 'Goya de Honor 2014 Mejor actor protagonista 2019 Dolor y gloria', 'Platino de Honor 2015 Premio a la Trayectoria Profesional 2017 Premio Nacional de Cinematografía']"
135,Gerard Butler,13 de noviembre de 1969 ,Reino Unido,1997,"['SAG-AFTRA', 'Mejor interpretación masculina 2019 Dolor y gloria', 'Goya de Honor 2014 Mejor actor protagonista 2019 Dolor y gloria', 'Goya de Honor 2014 Mejor actor protagonista 2019 Dolor y gloria', 'Platino de Honor 2015 Premio a la Trayectoria Profesional 2017 Premio Nacional de Cinematografía']"
136,America Ferrera,18 de abril de 1984 ,Estados Unidos,2002,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
137,Kristen Wiig,22 de agosto de 1973 ,Estados Unidos,2002,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
138,Jonah Hill,20 de diciembre de 1983 ,Estados Unidos,2004,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
139,Christopher Mintz-Plasse,20 de diciembre de 1983 ,2017.,2004,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
140,Craig Ferguson,20 de diciembre de 1983 ,2019.,2004,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
141,Carice van Houten,5 de septiembre de 1976 ,Paises Bajos,1997,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
142,Lee Ji-ah,6 de agosto de 1978 ,Corea del Sur,1997,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
143,Eugene,6 de agosto de 1978 ,Corea del Sur,1997,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
144,Um Ki-joon,23 de marzo de 1976 Corea del Sur,Corea del Sur,1997,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
145,Han Ji-hyun,21 de marzo de 1996 ,Corea del Sur,1997,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
146,Kim Hyun-soo,23 de junio de 2000 ,Corea del Sur,2011,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
147,Park Eun-seok,10 de febrero de 1984 ,Corea del Sur,2011,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
148,Yoon Jong-hoon,15 de febrero de 1984 ,Corea del Sur,2006,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
149,Jo Soo-min,5 de marzo de 1999 ,Corea del Sur,2006,"['Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)', 'Globo de Oro a la mejor actriz de serie de televisión - Comedia o musical (2007) Primetime Emmy a la mejor actriz - Serie de comedia (2007) 100 Mujeres de la BBC (2023)']"
