,nombre,fecha_nacimiento,pais_nacimiento,activo desde,premios
30,Wallace Shawn,11 de octubre de 1962 ,2015.,1979,"['Mejor actriz invitada - Serie de comedia 2015 Shameless', 'Premio de la Crítica Cinematográfica a la mejor actriz de reparto 1997 In & Out', 'Premio Annie Theatre World Award (1989)', 'Premio Annie Theatre World Award (1989)']"
31,Bonnie Hunt,22 de septiembre de 1961 ,Estados Unidos,1984,['Premio Saturn']
32,Michael Cera,7 de junio de 1988 ,Canadá,1984,['Canadian Comedy Award for Best Male Performance in a Feature']
33,Mary Elizabeth Winstead,28 de noviembre de 1984 ,Estados Unidos,1997,['Premio Saturn']
34,Aubrey Plaza,26 de junio de 1984 ,Estados Unidos,2006,['Premio Saturn']
35,Kieran Culkin,30 de septiembre de 1982 ,Estados Unidos,1990,"['Mejor actor de serie de televisión - Drama 2023 Succession', 'Mejor actor en serie dramática 2023 Succession']"
36,Chris Evans,13 de junio de 1981 ,Estados Unidos,1990,"['Mejor actor de serie de televisión - Drama 2023 Succession', 'Mejor actor en serie dramática 2023 Succession']"
37,Brie Larson,1 de octubre de 1989 ,Estados Unidos,1990,"['Mejor actriz 2016 • La habitación', 'Mejor actriz - Drama 2015 • La habitación', 'Mejor actriz 2015 • La habitación', 'Premio de la Crítica Cinematográfica a la mejor actriz 2015 La habitación Independent Spirit a la mejor actriz 2015 La habitación National Board of Review a la mejor actriz 2015 La habitación']"
38,Jason Schwartzman,26 de junio de 1980 ,Estados Unidos,1998,"['Mejor actriz 2016 • La habitación', 'Mejor actriz - Drama 2015 • La habitación', 'Mejor actriz 2015 • La habitación', 'Premio de la Crítica Cinematográfica a la mejor actriz 2015 La habitación Independent Spirit a la mejor actriz 2015 La habitación National Board of Review a la mejor actriz 2015 La habitación']"
39,Ellen Wong,13 de enero de 1985 ,Canadá,1998,"['Mejor actriz 2016 • La habitación', 'Mejor actriz - Drama 2015 • La habitación', 'Mejor actriz 2015 • La habitación', 'Premio de la Crítica Cinematográfica a la mejor actriz 2015 La habitación Independent Spirit a la mejor actriz 2015 La habitación National Board of Review a la mejor actriz 2015 La habitación']"
40,Kelly Brook,13 de enero de 1985 ,2021.,1998,"['Mejor actriz 2016 • La habitación', 'Mejor actriz - Drama 2015 • La habitación', 'Mejor actriz 2015 • La habitación', 'Premio de la Crítica Cinematográfica a la mejor actriz 2015 La habitación Independent Spirit a la mejor actriz 2015 La habitación National Board of Review a la mejor actriz 2015 La habitación']"
41,Elisabeth Shue,6 de octubre de 1963 ,Estados Unidos,1982,"['Independent Spirit Award a la mejor actriz protagonista (1995) National Society of Film Critics Award for Best Actress (1995) Premio de la Asociación de Críticos de Cine de Los Ángeles a la Mejor Actriz (1995)', 'Independent Spirit Award a la mejor actriz protagonista (1995) National Society of Film Critics Award for Best Actress (1995) Premio de la Asociación de Críticos de Cine de Los Ángeles a la Mejor Actriz (1995)', 'Independent Spirit Award a la mejor actriz protagonista (1995) National Society of Film Critics Award for Best Actress (1995) Premio de la Asociación de Críticos de Cine de Los Ángeles a la Mejor Actriz (1995)']"
