,0
379,No tiene datos
380,No tiene datos
381,No tiene datos
382,No tiene datos
383,No tiene datos
384,No tiene datos
385,No tiene datos
386,No tiene datos
387,No tiene datos
388,No tiene datos
389,79
390,No tiene datos
391,No tiene datos
392,No tiene datos
393,93
394,No tiene datos
395,No tiene datos
396,No tiene datos
397,No tiene datos
398,No tiene datos
399,No tiene datos
400,73
401,No tiene datos
402,No tiene datos
403,No tiene datos
404,No tiene datos
405,No tiene datos
406,No tiene datos
407,No tiene datos
408,No tiene datos
409,No tiene datos
410,No tiene datos
411,No tiene datos
412,No tiene datos
413,No tiene datos
414,No tiene datos
415,No tiene datos
416,No tiene datos
417,No tiene datos
418,No tiene datos
419,13
420,No tiene datos
421,No tiene datos
422,No tiene datos
423,No tiene datos
424,No tiene datos
425,No tiene datos
426,No tiene datos
427,No tiene datos
428,No tiene datos
429,No tiene datos
430,No tiene datos
431,No tiene datos
432,No tiene datos
433,67
434,No tiene datos
435,No tiene datos
436,No tiene datos
437,No tiene datos
438,No tiene datos
439,No tiene datos
440,No tiene datos
441,No tiene datos
442,No tiene datos
443,No tiene datos
444,No tiene datos
445,No tiene datos
446,96
447,No tiene datos
448,No tiene datos
449,No tiene datos
450,No tiene datos
451,No tiene datos
452,No tiene datos
453,No tiene datos
454,No tiene datos
455,No tiene datos
456,No tiene datos
457,No tiene datos
458,No tiene datos
459,No tiene datos
460,No tiene datos
461,No tiene datos
462,No tiene datos
463,No tiene datos
464,No tiene datos
465,No tiene datos
466,No tiene datos
467,No tiene datos
468,No tiene datos
469,No tiene datos
470,No tiene datos
471,No tiene datos
472,No tiene datos
473,No tiene datos
474,No tiene datos
475,No tiene datos
476,No tiene datos
477,No tiene datos
478,No tiene datos
479,No tiene datos
480,35
481,No tiene datos
482,No tiene datos
483,No tiene datos
484,No tiene datos
485,No tiene datos
486,No tiene datos
487,No tiene datos
488,No tiene datos
489,No tiene datos
490,No tiene datos
491,No tiene datos
492,No tiene datos
493,No tiene datos
494,No tiene datos
495,No tiene datos
496,No tiene datos
497,No tiene datos
498,No tiene datos
499,No tiene datos
500,No tiene datos
501,88
502,No tiene datos
503,No tiene datos
504,No tiene datos
505,No tiene datos
506,54
507,No tiene datos
508,46
509,No tiene datos
510,No tiene datos
511,11
512,No tiene datos
513,No tiene datos
514,83
515,No tiene datos
516,No tiene datos
517,No tiene datos
518,No tiene datos
519,80
520,No tiene datos
521,No tiene datos
522,No tiene datos
523,86
524,No tiene datos
525,No tiene datos
526,No tiene datos
527,30
528,No tiene datos
529,No tiene datos
530,No tiene datos
531,17
532,No tiene datos
533,No tiene datos
534,No tiene datos
535,No tiene datos
536,90
537,No tiene datos
538,No tiene datos
539,No tiene datos
540,8
541,No tiene datos
542,No tiene datos
543,No tiene datos
544,No tiene datos
545,No tiene datos
546,No tiene datos
547,No tiene datos
548,No tiene datos
549,50
550,No tiene datos
551,No tiene datos
552,No tiene datos
553,No tiene datos
554,No tiene datos
555,No tiene datos
556,No tiene datos
557,No tiene datos
558,No tiene datos
559,98
560,No tiene datos
561,No tiene datos
562,100
563,No tiene datos
564,23
565,No tiene datos
566,No tiene datos
567,No tiene datos
568,No tiene datos
569,No tiene datos
570,No tiene datos
571,No tiene datos
572,No tiene datos
573,No tiene datos
574,No tiene datos
575,No tiene datos
576,No tiene datos
577,No tiene datos
578,No tiene datos
579,No tiene datos
580,No tiene datos
581,No tiene datos
582,No tiene datos
583,No tiene datos
584,71
585,No tiene datos
586,No tiene datos
587,No tiene datos
588,No tiene datos
589,No tiene datos
590,No tiene datos
591,64
592,100
593,No tiene datos
594,3
595,16
596,No tiene datos
597,No tiene datos
598,No tiene datos
599,79
600,No tiene datos
601,No tiene datos
602,No tiene datos
603,No tiene datos
604,No tiene datos
605,91
606,No tiene datos
607,No tiene datos
608,No tiene datos
609,No tiene datos
610,No tiene datos
611,No tiene datos
612,No tiene datos
613,No tiene datos
614,No tiene datos
615,No tiene datos
616,No tiene datos
617,No tiene datos
618,No tiene datos
619,No tiene datos
620,No tiene datos
621,No tiene datos
622,No tiene datos
623,50
624,No tiene datos
625,100
626,No tiene datos
627,No tiene datos
628,84
629,No tiene datos
630,No tiene datos
631,No tiene datos
632,No tiene datos
633,No tiene datos
634,No tiene datos
635,No tiene datos
636,No tiene datos
637,No tiene datos
638,No tiene datos
639,No tiene datos
640,60
641,No tiene datos
642,No tiene datos
643,No tiene datos
644,No tiene datos
645,No tiene datos
646,No tiene datos
647,No tiene datos
648,No tiene datos
649,No tiene datos
650,No tiene datos
651,No tiene datos
652,No tiene datos
653,No tiene datos
654,No tiene datos
655,No tiene datos
656,No tiene datos
657,No tiene datos
658,No tiene datos
659,No tiene datos
660,No tiene datos
661,No tiene datos
662,No tiene datos
663,41
664,95
665,No tiene datos
666,No tiene datos
667,No tiene datos
668,No tiene datos
669,No tiene datos
670,No tiene datos
671,24
672,No tiene datos
673,No tiene datos
674,9
675,No tiene datos
676,No tiene datos
677,No tiene datos
678,No tiene datos
679,No tiene datos
680,No tiene datos
681,No tiene datos
682,No tiene datos
683,No tiene datos
684,No tiene datos
685,No tiene datos
686,No tiene datos
687,No tiene datos
688,No tiene datos
689,No tiene datos
690,No tiene datos
691,No tiene datos
692,No tiene datos
693,No tiene datos
694,No tiene datos
695,No tiene datos
696,No tiene datos
697,No tiene datos
698,No tiene datos
699,No tiene datos
700,No tiene datos
701,No tiene datos
702,No tiene datos
703,No tiene datos
704,No tiene datos
705,No tiene datos
706,No tiene datos
707,No tiene datos
708,80
709,No tiene datos
710,No tiene datos
711,No tiene datos
712,No tiene datos
713,67
714,No tiene datos
715,No tiene datos
716,No tiene datos
717,No tiene datos
718,No tiene datos
719,No tiene datos
720,No tiene datos
721,No tiene datos
722,33
723,No tiene datos
724,No tiene datos
725,No tiene datos
726,No tiene datos
727,No tiene datos
728,No tiene datos
729,No tiene datos
730,No tiene datos
731,No tiene datos
732,No tiene datos
733,80
734,No tiene datos
735,No tiene datos
736,No tiene datos
737,52
738,No tiene datos
739,No tiene datos
740,No tiene datos
741,35
742,No tiene datos
743,No tiene datos
744,No tiene datos
745,25
746,No tiene datos
747,No tiene datos
748,No tiene datos
749,No tiene datos
750,No tiene datos
751,No tiene datos
752,No tiene datos
753,80
754,No tiene datos
755,No tiene datos
756,No tiene datos
757,No tiene datos
758,No tiene datos
759,53
760,23
761,No tiene datos
762,No tiene datos
763,No tiene datos
764,No tiene datos
765,No tiene datos
766,No tiene datos
767,45
768,No tiene datos
769,93
770,No tiene datos
771,No tiene datos
772,No tiene datos
773,No tiene datos
774,No tiene datos
775,No tiene datos
776,No tiene datos
777,No tiene datos
778,No tiene datos
779,No tiene datos
780,No tiene datos
781,No tiene datos
782,No tiene datos
783,No tiene datos
784,91
785,No tiene datos
786,No tiene datos
787,No tiene datos
788,No tiene datos
789,No tiene datos
790,No tiene datos
791,87
792,No tiene datos
793,20
794,No tiene datos
795,100
796,No tiene datos
797,No tiene datos
798,No tiene datos
799,No tiene datos
800,40
801,No tiene datos
802,No tiene datos
803,22
804,No tiene datos
805,No tiene datos
806,No tiene datos
807,No tiene datos
808,57
809,No tiene datos
810,0
811,No tiene datos
812,No tiene datos
813,No tiene datos
814,No tiene datos
815,No tiene datos
816,No tiene datos
817,No tiene datos
818,No tiene datos
819,No tiene datos
820,No tiene datos
821,No tiene datos
822,No tiene datos
823,No tiene datos
824,No tiene datos
825,No tiene datos
826,No tiene datos
827,No tiene datos
828,No tiene datos
829,No tiene datos
830,No tiene datos
831,No tiene datos
832,No tiene datos
833,21
834,No tiene datos
835,No tiene datos
836,No tiene datos
837,No tiene datos
838,No tiene datos
839,No tiene datos
840,No tiene datos
841,No tiene datos
842,No tiene datos
843,No tiene datos
844,No tiene datos
845,No tiene datos
846,No tiene datos
847,No tiene datos
848,No tiene datos
849,No tiene datos
850,No tiene datos
851,100
852,No tiene datos
853,No tiene datos
854,No tiene datos
855,No tiene datos
856,No tiene datos
857,No tiene datos
858,No tiene datos
859,No tiene datos
860,No tiene datos
861,No tiene datos
862,No tiene datos
863,No tiene datos
864,No tiene datos
865,No tiene datos
866,No tiene datos
867,No tiene datos
868,No tiene datos
869,No tiene datos
870,No tiene datos
871,No tiene datos
872,No tiene datos
873,No tiene datos
874,No tiene datos
875,No tiene datos
876,No tiene datos
877,No tiene datos
878,No tiene datos
879,No tiene datos
880,70
881,No tiene datos
882,No tiene datos
883,No tiene datos
884,68
885,No tiene datos
886,91
887,67
888,No tiene datos
889,No tiene datos
890,No tiene datos
891,70
892,No tiene datos
893,No tiene datos
894,No tiene datos
895,No tiene datos
896,No tiene datos
897,No tiene datos
898,No tiene datos
899,No tiene datos
900,No tiene datos
901,No tiene datos
902,No tiene datos
903,No tiene datos
904,No tiene datos
905,No tiene datos
906,No tiene datos
907,No tiene datos
908,98
909,24
910,No tiene datos
911,No tiene datos
912,No tiene datos
913,No tiene datos
914,14
915,No tiene datos
916,No tiene datos
917,No tiene datos
918,29
919,No tiene datos
920,No tiene datos
921,30
922,No tiene datos
923,No tiene datos
924,No tiene datos
925,No tiene datos
926,No tiene datos
927,No tiene datos
928,No tiene datos
929,No tiene datos
930,No tiene datos
931,No tiene datos
932,No tiene datos
933,No tiene datos
934,8
935,No tiene datos
936,No tiene datos
937,No tiene datos
938,No tiene datos
939,No tiene datos
940,No tiene datos
941,No tiene datos
942,No tiene datos
943,No tiene datos
944,No tiene datos
945,No tiene datos
946,No tiene datos
947,19
948,No tiene datos
949,90
950,No tiene datos
951,No tiene datos
952,No tiene datos
953,No tiene datos
954,No tiene datos
955,No tiene datos
956,No tiene datos
957,No tiene datos
958,No tiene datos
959,No tiene datos
960,No tiene datos
961,No tiene datos
962,No tiene datos
963,No tiene datos
964,No tiene datos
965,No tiene datos
966,No tiene datos
967,No tiene datos
968,No tiene datos
969,No tiene datos
970,No tiene datos
971,No tiene datos
972,No tiene datos
973,No tiene datos
974,No tiene datos
975,No tiene datos
976,No tiene datos
977,No tiene datos
978,No tiene datos
979,No tiene datos
980,No tiene datos
981,No tiene datos
982,No tiene datos
983,No tiene datos
984,49
985,No tiene datos
986,No tiene datos
987,No tiene datos
988,No tiene datos
989,No tiene datos
990,14
991,No tiene datos
992,No tiene datos
993,No tiene datos
994,No tiene datos
995,No tiene datos
996,58
997,No tiene datos
998,92
999,No tiene datos
1000,No tiene datos
1001,No tiene datos
1002,40
1003,No tiene datos
1004,No tiene datos
1005,No tiene datos
1006,86
1007,No tiene datos
1008,No tiene datos
1009,No tiene datos
1010,No tiene datos
1011,No tiene datos
1012,No tiene datos
1013,No tiene datos
1014,No tiene datos
1015,No tiene datos
1016,No tiene datos
1017,No tiene datos
1018,No tiene datos
1019,No tiene datos
1020,39
1021,No tiene datos
1022,No tiene datos
1023,No tiene datos
1024,No tiene datos
1025,No tiene datos
1026,No tiene datos
1027,No tiene datos
1028,42
1029,29
1030,No tiene datos
1031,No tiene datos
