,0,1,2,3,4,5
31,5.6,Murali Nagavally,Farhad Bhiwandiwala,No tiene datos,No tiene datos,Fauj Mein Mauj
32,3.1,Tim Sullivan,Chris Kobin,"When this year's round of unsuspecting Northerners fail to show up for their annual Guts N' Glory Jamboree, the residents of Pleasant Valley take their cannibalistic carnival on the road, and head to Iowa, where they encounter spoiled heiresses Rome and Tina Sheraton, and the cast and crew of their ""Road Rascals"" reality show. Performing ""The Bloodiest Show on Earth"",... Leer todo",84,2001 Maniacs: Field of Screams
33,5.8,Robert Young,Hugh Janes,"A black comedy about an old rogue named Wally, who breaks all the rules to fulfill an old friends dying wish to be buried at sea.",88,Wide Blue Yonder
34,5.0,Luis Barone,"Luis Barone, Juan Sasturain, Jesús de la Vega","Set in a decaying Buenos Aires, a poor Argentine (Minujin) wrestles with his newly discovered superpowers.",103,Zenitram
35,8.6,Alpesh Patel,Alpesh Patel,"TOUCH WOOD is an outrageous mockumentary about an Indian movie producer Mr. Moto, who was once a hotshot movie producer in Bollywood (India). But his ultimate dream was to become a big time movie producer in Hollywood. Figuring that his fame would effortlessly carry over into Tinseltown, he set off to America some twenty odd years ago. Much to his dismay, he was unsuc... Leer todo",No tiene datos,Touch Wood
36,6.6,Nicole Holofcener,Nicole Holofcener,"En la ciudad de Nueva York, un marido y su mujer se enfrentan con las nietas de la anciana que vive en el apartamento que posee la pareja.",87,Encuentros en Nueva York
37,7.5,Jeremy Osbern,Chris Blunk,"Three musical stories of people who feel out of place in the world, and of their longing to find a connection with someone else. A middle-aged African American sings to a new love in a country/western bar, a young goth girl sings a '50s-style ballad as she wanders the streets with a broken heart, and a punk croons a modern doo-wop at a punk-rock show.",100,AIR: The Musical
38,3.8,Benjamin Gourley,Benjamin Gourley,"Leon and TJ are best friends and repo men. After ten years, with a high school reunion looming, Leon wants out of the repo business. TJ has concocted a hair-brained scheme to steal all the cars they've repoed. When the plan fails, it falls to Leon to save TJ from his own plan.",97,Repo
39,6.1,Josh Gordon,Jeffrey Eugenides,"Siete años después del hecho, un hombre se da cuenta de que él fue el donante de esperma para el hijo de su mejor amigo.",101,Un pequeño cambio
40,6.5,Gary Winick,Jose Rivera,"Sophie sueña con convertirse en escritora. Viaja a Verona, donde descubre una plaza en la que la gente deja cartas de amor no correspondido.",105,Cartas a Julieta
