,0
333,No tiene datos
334,No tiene datos
335,No tiene datos
336,No tiene datos
337,No tiene datos
338,No tiene datos
339,No tiene datos
340,No tiene datos
341,No tiene datos
342,No tiene datos
343,No tiene datos
344,No tiene datos
345,No tiene datos
346,No tiene datos
347,No tiene datos
348,No tiene datos
349,No tiene datos
350,No tiene datos
351,No tiene datos
352,No tiene datos
353,No tiene datos
354,No tiene datos
355,No tiene datos
356,No tiene datos
357,No tiene datos
358,No tiene datos
359,No tiene datos
360,No tiene datos
361,No tiene datos
362,100
363,No tiene datos
364,No tiene datos
365,No tiene datos
366,No tiene datos
367,No tiene datos
368,No tiene datos
369,No tiene datos
370,No tiene datos
371,No tiene datos
372,No tiene datos
373,No tiene datos
374,No tiene datos
375,82
376,No tiene datos
377,No tiene datos
378,No tiene datos
379,No tiene datos
380,No tiene datos
381,No tiene datos
382,No tiene datos
383,No tiene datos
384,No tiene datos
385,No tiene datos
386,No tiene datos
387,No tiene datos
388,No tiene datos
389,No tiene datos
390,No tiene datos
391,No tiene datos
392,No tiene datos
393,No tiene datos
394,No tiene datos
395,No tiene datos
396,No tiene datos
397,No tiene datos
398,No tiene datos
399,No tiene datos
400,No tiene datos
401,No tiene datos
402,No tiene datos
403,No tiene datos
404,No tiene datos
405,No tiene datos
406,No tiene datos
407,No tiene datos
408,No tiene datos
409,No tiene datos
410,No tiene datos
411,No tiene datos
412,No tiene datos
413,No tiene datos
414,No tiene datos
415,No tiene datos
416,No tiene datos
417,No tiene datos
418,No tiene datos
419,No tiene datos
420,No tiene datos
421,No tiene datos
422,No tiene datos
423,No tiene datos
424,No tiene datos
425,No tiene datos
426,No tiene datos
427,No tiene datos
428,78
429,No tiene datos
430,No tiene datos
431,No tiene datos
432,No tiene datos
433,No tiene datos
434,No tiene datos
435,No tiene datos
436,No tiene datos
437,No tiene datos
438,No tiene datos
439,No tiene datos
440,No tiene datos
441,65
442,No tiene datos
443,No tiene datos
444,No tiene datos
445,No tiene datos
446,No tiene datos
447,No tiene datos
448,No tiene datos
449,No tiene datos
450,No tiene datos
451,No tiene datos
452,No tiene datos
453,No tiene datos
454,No tiene datos
455,No tiene datos
456,No tiene datos
457,No tiene datos
458,No tiene datos
459,No tiene datos
460,No tiene datos
461,No tiene datos
462,No tiene datos
463,No tiene datos
464,No tiene datos
465,No tiene datos
466,No tiene datos
467,No tiene datos
468,No tiene datos
469,No tiene datos
470,No tiene datos
471,No tiene datos
472,No tiene datos
473,No tiene datos
474,No tiene datos
475,No tiene datos
476,No tiene datos
477,No tiene datos
478,No tiene datos
479,No tiene datos
480,No tiene datos
481,No tiene datos
482,No tiene datos
483,No tiene datos
484,No tiene datos
485,No tiene datos
486,No tiene datos
487,No tiene datos
488,No tiene datos
489,No tiene datos
490,No tiene datos
491,No tiene datos
492,56
493,No tiene datos
494,No tiene datos
495,100
496,2
497,No tiene datos
498,No tiene datos
499,96
500,No tiene datos
501,No tiene datos
502,No tiene datos
503,No tiene datos
504,No tiene datos
505,19
506,No tiene datos
507,79
508,No tiene datos
509,No tiene datos
510,No tiene datos
511,No tiene datos
512,No tiene datos
513,No tiene datos
514,No tiene datos
515,No tiene datos
516,65
517,No tiene datos
518,No tiene datos
519,No tiene datos
520,No tiene datos
521,No tiene datos
522,No tiene datos
523,No tiene datos
524,No tiene datos
525,No tiene datos
526,No tiene datos
527,No tiene datos
528,93
529,No tiene datos
530,No tiene datos
531,No tiene datos
532,No tiene datos
533,No tiene datos
534,No tiene datos
535,No tiene datos
536,70
537,No tiene datos
538,No tiene datos
539,No tiene datos
540,27
541,No tiene datos
542,No tiene datos
543,No tiene datos
544,No tiene datos
545,13
546,No tiene datos
547,No tiene datos
548,No tiene datos
549,No tiene datos
550,No tiene datos
551,No tiene datos
552,No tiene datos
553,No tiene datos
554,No tiene datos
555,No tiene datos
556,No tiene datos
557,No tiene datos
558,No tiene datos
559,No tiene datos
560,No tiene datos
561,No tiene datos
562,No tiene datos
563,No tiene datos
564,No tiene datos
565,No tiene datos
566,No tiene datos
567,No tiene datos
568,No tiene datos
569,No tiene datos
570,No tiene datos
571,No tiene datos
572,No tiene datos
573,No tiene datos
574,No tiene datos
575,No tiene datos
576,No tiene datos
577,No tiene datos
578,No tiene datos
579,No tiene datos
580,No tiene datos
581,62
582,No tiene datos
583,No tiene datos
584,No tiene datos
585,No tiene datos
586,21
587,No tiene datos
588,11
589,40
590,No tiene datos
591,No tiene datos
592,No tiene datos
593,No tiene datos
594,No tiene datos
595,No tiene datos
596,75
597,No tiene datos
598,32
599,No tiene datos
600,No tiene datos
601,No tiene datos
602,No tiene datos
603,No tiene datos
604,No tiene datos
605,No tiene datos
606,No tiene datos
607,No tiene datos
608,No tiene datos
609,No tiene datos
610,No tiene datos
611,86
612,No tiene datos
613,No tiene datos
614,No tiene datos
615,20
616,No tiene datos
617,No tiene datos
618,No tiene datos
619,No tiene datos
620,No tiene datos
621,No tiene datos
622,No tiene datos
623,80
624,No tiene datos
625,No tiene datos
626,No tiene datos
627,No tiene datos
628,No tiene datos
629,No tiene datos
630,No tiene datos
631,No tiene datos
632,56
633,No tiene datos
634,No tiene datos
635,No tiene datos
636,No tiene datos
637,No tiene datos
638,No tiene datos
639,No tiene datos
640,No tiene datos
641,No tiene datos
642,No tiene datos
643,No tiene datos
644,No tiene datos
645,No tiene datos
646,No tiene datos
647,23
648,25
649,No tiene datos
650,No tiene datos
651,No tiene datos
652,51
653,No tiene datos
654,57
655,No tiene datos
656,87
657,No tiene datos
658,No tiene datos
659,No tiene datos
660,No tiene datos
661,No tiene datos
662,No tiene datos
663,No tiene datos
664,50
665,No tiene datos
666,82
667,No tiene datos
668,No tiene datos
669,No tiene datos
670,No tiene datos
671,No tiene datos
672,33
673,No tiene datos
674,No tiene datos
675,73
676,No tiene datos
677,60
678,No tiene datos
679,81
680,No tiene datos
681,25
682,No tiene datos
683,No tiene datos
684,89
685,No tiene datos
686,No tiene datos
687,No tiene datos
688,No tiene datos
689,No tiene datos
690,No tiene datos
691,No tiene datos
692,No tiene datos
693,No tiene datos
694,No tiene datos
695,No tiene datos
696,51
697,70
698,No tiene datos
699,No tiene datos
700,No tiene datos
701,93
702,No tiene datos
703,No tiene datos
704,No tiene datos
705,No tiene datos
706,No tiene datos
707,No tiene datos
708,No tiene datos
709,No tiene datos
710,No tiene datos
711,No tiene datos
712,No tiene datos
713,No tiene datos
714,No tiene datos
715,No tiene datos
716,No tiene datos
717,No tiene datos
718,No tiene datos
719,No tiene datos
720,65
721,No tiene datos
722,No tiene datos
723,No tiene datos
724,No tiene datos
725,No tiene datos
726,No tiene datos
727,No tiene datos
728,91
729,No tiene datos
730,No tiene datos
731,No tiene datos
732,No tiene datos
733,No tiene datos
734,No tiene datos
735,No tiene datos
736,No tiene datos
737,No tiene datos
738,No tiene datos
739,No tiene datos
740,No tiene datos
741,No tiene datos
742,No tiene datos
743,No tiene datos
744,No tiene datos
745,No tiene datos
746,No tiene datos
747,18
748,No tiene datos
749,No tiene datos
750,No tiene datos
751,No tiene datos
752,No tiene datos
753,12
754,No tiene datos
755,No tiene datos
756,No tiene datos
757,No tiene datos
