,0
457,No tiene datos
458,No tiene datos
459,No tiene datos
460,No tiene datos
461,No tiene datos
462,No tiene datos
463,No tiene datos
464,75
465,47
466,95
467,No tiene datos
468,No tiene datos
469,No tiene datos
470,No tiene datos
471,No tiene datos
472,No tiene datos
473,No tiene datos
474,14
475,No tiene datos
476,No tiene datos
477,48
478,No tiene datos
479,No tiene datos
480,No tiene datos
481,29
482,9
483,42
484,45
485,9
486,No tiene datos
487,No tiene datos
488,80
489,No tiene datos
490,No tiene datos
491,No tiene datos
492,No tiene datos
493,52
494,64
495,No tiene datos
496,No tiene datos
497,No tiene datos
498,63
499,No tiene datos
500,No tiene datos
501,No tiene datos
502,No tiene datos
503,20
504,100
505,51
506,No tiene datos
507,No tiene datos
508,No tiene datos
509,60
510,No tiene datos
511,33
512,30
513,75
514,No tiene datos
515,No tiene datos
516,No tiene datos
517,75
518,No tiene datos
519,55
520,45
521,85
522,No tiene datos
523,No tiene datos
524,No tiene datos
525,15
526,75
527,No tiene datos
528,No tiene datos
529,80
530,84
531,No tiene datos
532,No tiene datos
533,28
534,No tiene datos
535,No tiene datos
536,83
537,No tiene datos
538,30
539,0
540,24
541,20
542,69
543,No tiene datos
544,92
545,No tiene datos
546,46
547,72
548,No tiene datos
549,42
550,39
551,52
552,No tiene datos
553,No tiene datos
554,No tiene datos
555,No tiene datos
556,No tiene datos
557,No tiene datos
558,No tiene datos
559,No tiene datos
560,No tiene datos
561,No tiene datos
562,No tiene datos
563,No tiene datos
564,No tiene datos
565,No tiene datos
566,87
567,50
568,39
569,No tiene datos
570,42
571,No tiene datos
572,No tiene datos
573,No tiene datos
574,No tiene datos
575,60
576,No tiene datos
577,No tiene datos
578,60
579,68
580,No tiene datos
581,No tiene datos
582,No tiene datos
583,No tiene datos
584,60
585,No tiene datos
586,No tiene datos
587,No tiene datos
588,No tiene datos
589,No tiene datos
590,No tiene datos
591,No tiene datos
592,No tiene datos
593,No tiene datos
594,83
595,No tiene datos
596,No tiene datos
597,No tiene datos
598,67
599,No tiene datos
600,16
601,No tiene datos
602,No tiene datos
603,No tiene datos
604,No tiene datos
605,No tiene datos
606,21
607,62
608,56
609,50
610,No tiene datos
611,No tiene datos
612,22
613,No tiene datos
614,No tiene datos
615,No tiene datos
616,No tiene datos
617,No tiene datos
618,10
619,68
620,No tiene datos
621,50
622,No tiene datos
623,84
624,No tiene datos
625,No tiene datos
626,No tiene datos
627,No tiene datos
628,No tiene datos
629,83
630,No tiene datos
631,No tiene datos
632,No tiene datos
633,No tiene datos
634,No tiene datos
635,39
636,94
637,No tiene datos
638,30
639,No tiene datos
640,No tiene datos
641,No tiene datos
642,No tiene datos
643,No tiene datos
644,No tiene datos
645,No tiene datos
646,85
647,No tiene datos
648,43
649,95
650,72
651,No tiene datos
652,No tiene datos
653,No tiene datos
654,No tiene datos
655,75
656,No tiene datos
657,No tiene datos
658,No tiene datos
659,48
660,88
661,0
662,67
663,22
664,No tiene datos
665,49
666,No tiene datos
667,No tiene datos
668,No tiene datos
669,No tiene datos
670,No tiene datos
671,10
672,62
673,38
674,No tiene datos
675,97
676,No tiene datos
677,No tiene datos
678,No tiene datos
679,No tiene datos
680,No tiene datos
681,No tiene datos
682,No tiene datos
683,55
684,100
685,No tiene datos
686,No tiene datos
687,0
688,No tiene datos
689,50
690,No tiene datos
691,No tiene datos
692,No tiene datos
693,No tiene datos
694,No tiene datos
695,No tiene datos
696,No tiene datos
697,84
698,No tiene datos
699,No tiene datos
700,No tiene datos
701,No tiene datos
702,No tiene datos
703,43
704,No tiene datos
705,No tiene datos
706,No tiene datos
707,99
708,No tiene datos
709,No tiene datos
710,No tiene datos
711,93
712,No tiene datos
713,No tiene datos
714,No tiene datos
715,35
716,No tiene datos
717,No tiene datos
718,No tiene datos
719,9
720,31
721,No tiene datos
722,No tiene datos
723,No tiene datos
724,No tiene datos
725,No tiene datos
726,No tiene datos
727,No tiene datos
728,40
729,No tiene datos
730,12
731,82
732,No tiene datos
733,63
734,No tiene datos
735,No tiene datos
736,No tiene datos
737,No tiene datos
738,No tiene datos
739,No tiene datos
740,No tiene datos
741,No tiene datos
742,No tiene datos
743,31
744,No tiene datos
745,11
746,No tiene datos
747,No tiene datos
748,17
749,No tiene datos
750,No tiene datos
751,No tiene datos
752,No tiene datos
753,84
754,60
755,No tiene datos
756,17
757,No tiene datos
758,No tiene datos
759,No tiene datos
760,No tiene datos
761,No tiene datos
762,No tiene datos
763,No tiene datos
764,No tiene datos
765,No tiene datos
766,No tiene datos
767,No tiene datos
768,No tiene datos
769,No tiene datos
770,No tiene datos
771,No tiene datos
772,No tiene datos
773,No tiene datos
774,No tiene datos
775,No tiene datos
776,No tiene datos
777,No tiene datos
778,No tiene datos
779,No tiene datos
780,No tiene datos
781,No tiene datos
782,No tiene datos
783,No tiene datos
784,No tiene datos
785,No tiene datos
786,No tiene datos
787,No tiene datos
788,No tiene datos
789,No tiene datos
790,No tiene datos
791,No tiene datos
792,No tiene datos
793,No tiene datos
794,No tiene datos
795,No tiene datos
796,No tiene datos
797,33
798,No tiene datos
799,No tiene datos
800,No tiene datos
801,No tiene datos
802,No tiene datos
803,No tiene datos
804,No tiene datos
805,0
806,No tiene datos
807,No tiene datos
808,No tiene datos
809,No tiene datos
810,No tiene datos
811,No tiene datos
812,No tiene datos
813,No tiene datos
814,No tiene datos
815,No tiene datos
816,No tiene datos
817,92
818,No tiene datos
819,No tiene datos
820,No tiene datos
821,No tiene datos
822,17
823,No tiene datos
824,80
825,No tiene datos
826,No tiene datos
827,No tiene datos
828,No tiene datos
829,No tiene datos
830,No tiene datos
831,No tiene datos
832,No tiene datos
833,No tiene datos
834,No tiene datos
835,No tiene datos
836,No tiene datos
837,No tiene datos
838,No tiene datos
839,No tiene datos
840,No tiene datos
841,No tiene datos
842,34
843,65
844,No tiene datos
845,39
846,No tiene datos
847,No tiene datos
848,No tiene datos
849,No tiene datos
850,No tiene datos
851,No tiene datos
852,81
853,No tiene datos
854,No tiene datos
855,No tiene datos
856,No tiene datos
857,No tiene datos
858,No tiene datos
859,No tiene datos
860,No tiene datos
861,No tiene datos
862,No tiene datos
863,No tiene datos
864,No tiene datos
865,No tiene datos
866,No tiene datos
867,29
868,No tiene datos
869,No tiene datos
870,No tiene datos
871,No tiene datos
872,No tiene datos
873,No tiene datos
874,No tiene datos
875,No tiene datos
876,No tiene datos
877,No tiene datos
878,No tiene datos
879,No tiene datos
880,No tiene datos
881,No tiene datos
882,No tiene datos
883,No tiene datos
884,No tiene datos
885,No tiene datos
886,No tiene datos
887,No tiene datos
888,No tiene datos
889,No tiene datos
890,No tiene datos
891,No tiene datos
892,No tiene datos
893,No tiene datos
894,No tiene datos
895,No tiene datos
896,No tiene datos
897,No tiene datos
898,No tiene datos
899,No tiene datos
900,No tiene datos
901,No tiene datos
902,No tiene datos
903,No tiene datos
904,No tiene datos
905,65
906,No tiene datos
907,No tiene datos
908,No tiene datos
909,No tiene datos
910,60
911,No tiene datos
912,No tiene datos
913,No tiene datos
914,51
915,13
916,No tiene datos
917,No tiene datos
918,No tiene datos
919,No tiene datos
920,No tiene datos
921,No tiene datos
922,78
923,No tiene datos
924,No tiene datos
925,62
926,No tiene datos
927,No tiene datos
928,No tiene datos
929,No tiene datos
930,No tiene datos
931,No tiene datos
932,No tiene datos
933,No tiene datos
934,No tiene datos
935,No tiene datos
936,No tiene datos
937,No tiene datos
938,89
939,No tiene datos
940,No tiene datos
941,No tiene datos
942,No tiene datos
943,No tiene datos
944,No tiene datos
945,No tiene datos
946,No tiene datos
947,No tiene datos
948,No tiene datos
949,No tiene datos
950,No tiene datos
951,No tiene datos
952,No tiene datos
953,No tiene datos
954,No tiene datos
955,No tiene datos
956,No tiene datos
957,No tiene datos
958,No tiene datos
959,No tiene datos
960,No tiene datos
961,No tiene datos
962,No tiene datos
963,No tiene datos
964,No tiene datos
965,No tiene datos
966,No tiene datos
967,No tiene datos
968,No tiene datos
969,No tiene datos
970,No tiene datos
971,50
972,No tiene datos
973,No tiene datos
974,92
975,No tiene datos
976,No tiene datos
977,46
978,No tiene datos
979,No tiene datos
980,No tiene datos
981,No tiene datos
982,43
983,No tiene datos
984,66
985,17
986,57
987,No tiene datos
988,No tiene datos
989,4
990,66
991,90
992,No tiene datos
993,68
994,No tiene datos
995,No tiene datos
996,No tiene datos
997,No tiene datos
998,No tiene datos
999,53
1000,46
1001,No tiene datos
1002,No tiene datos
1003,No tiene datos
1004,90
1005,86
1006,51
1007,No tiene datos
1008,No tiene datos
1009,No tiene datos
1010,40
1011,No tiene datos
1012,0
1013,86
1014,No tiene datos
1015,No tiene datos
1016,No tiene datos
1017,45
1018,No tiene datos
1019,No tiene datos
1020,8
1021,No tiene datos
1022,60
1023,No tiene datos
1024,10
1025,No tiene datos
1026,No tiene datos
1027,No tiene datos
1028,No tiene datos
1029,No tiene datos
1030,No tiene datos
1031,No tiene datos
1032,No tiene datos
1033,No tiene datos
1034,No tiene datos
1035,No tiene datos
1036,96
1037,No tiene datos
1038,No tiene datos
1039,No tiene datos
1040,74
1041,83
1042,No tiene datos
1043,No tiene datos
1044,No tiene datos
1045,No tiene datos
1046,No tiene datos
1047,No tiene datos
1048,No tiene datos
1049,No tiene datos
1050,No tiene datos
1051,No tiene datos
1052,No tiene datos
1053,No tiene datos
1054,No tiene datos
1055,No tiene datos
1056,No tiene datos
1057,No tiene datos
1058,No tiene datos
1059,No tiene datos
1060,50
1061,No tiene datos
1062,No tiene datos
1063,No tiene datos
1064,No tiene datos
1065,No tiene datos
1066,No tiene datos
1067,No tiene datos
1068,No tiene datos
1069,No tiene datos
1070,53
1071,No tiene datos
1072,18
1073,No tiene datos
1074,88
1075,No tiene datos
1076,No tiene datos
1077,No tiene datos
1078,No tiene datos
1079,No tiene datos
1080,No tiene datos
1081,No tiene datos
1082,No tiene datos
1083,No tiene datos
1084,No tiene datos
1085,No tiene datos
1086,37
1087,No tiene datos
1088,No tiene datos
1089,No tiene datos
1090,No tiene datos
1091,No tiene datos
1092,No tiene datos
1093,No tiene datos
1094,23
1095,No tiene datos
1096,No tiene datos
1097,No tiene datos
1098,No tiene datos
1099,88
1100,67
1101,No tiene datos
1102,No tiene datos
1103,No tiene datos
1104,No tiene datos
1105,57
1106,No tiene datos
1107,No tiene datos
1108,55
1109,77
1110,No tiene datos
1111,No tiene datos
1112,68
1113,No tiene datos
1114,No tiene datos
1115,15
1116,No tiene datos
1117,No tiene datos
1118,No tiene datos
1119,No tiene datos
1120,No tiene datos
1121,No tiene datos
1122,No tiene datos
1123,No tiene datos
1124,No tiene datos
1125,No tiene datos
1126,No tiene datos
1127,No tiene datos
1128,30
1129,No tiene datos
1130,93
1131,No tiene datos
1132,No tiene datos
1133,No tiene datos
1134,No tiene datos
1135,49
1136,No tiene datos
1137,No tiene datos
1138,No tiene datos
1139,No tiene datos
1140,55
1141,No tiene datos
1142,No tiene datos
1143,No tiene datos
1144,38
1145,No tiene datos
1146,No tiene datos
1147,No tiene datos
1148,20
1149,No tiene datos
1150,No tiene datos
1151,20
1152,No tiene datos
1153,No tiene datos
1154,No tiene datos
1155,No tiene datos
1156,No tiene datos
1157,No tiene datos
1158,No tiene datos
1159,No tiene datos
1160,No tiene datos
1161,No tiene datos
1162,No tiene datos
1163,No tiene datos
1164,No tiene datos
1165,No tiene datos
1166,No tiene datos
1167,No tiene datos
1168,No tiene datos
1169,42
1170,No tiene datos
1171,No tiene datos
1172,No tiene datos
1173,No tiene datos
1174,No tiene datos
1175,No tiene datos
1176,80
1177,No tiene datos
1178,No tiene datos
1179,No tiene datos
1180,No tiene datos
1181,No tiene datos
1182,No tiene datos
1183,No tiene datos
1184,No tiene datos
1185,No tiene datos
1186,No tiene datos
1187,No tiene datos
1188,No tiene datos
1189,No tiene datos
1190,No tiene datos
1191,No tiene datos
1192,No tiene datos
1193,No tiene datos
1194,No tiene datos
1195,No tiene datos
1196,No tiene datos
1197,No tiene datos
1198,No tiene datos
1199,No tiene datos
1200,No tiene datos
1201,No tiene datos
1202,No tiene datos
1203,No tiene datos
1204,No tiene datos
1205,No tiene datos
1206,No tiene datos
1207,No tiene datos
1208,No tiene datos
1209,No tiene datos
1210,No tiene datos
1211,No tiene datos
1212,No tiene datos
1213,No tiene datos
1214,No tiene datos
1215,No tiene datos
1216,No tiene datos
1217,No tiene datos
1218,No tiene datos
1219,No tiene datos
1220,No tiene datos
1221,No tiene datos
1222,No tiene datos
1223,No tiene datos
1224,No tiene datos
1225,No tiene datos
1226,No tiene datos
1227,No tiene datos
1228,No tiene datos
1229,No tiene datos
1230,39
1231,No tiene datos
1232,No tiene datos
1233,No tiene datos
1234,66
1235,No tiene datos
1236,29
1237,No tiene datos
1238,54
1239,No tiene datos
1240,No tiene datos
1241,No tiene datos
1242,No tiene datos
1243,No tiene datos
1244,No tiene datos
1245,68
1246,No tiene datos
1247,No tiene datos
1248,No tiene datos
1249,No tiene datos
1250,No tiene datos
1251,No tiene datos
1252,No tiene datos
1253,No tiene datos
1254,No tiene datos
1255,No tiene datos
1256,No tiene datos
1257,No tiene datos
1258,No tiene datos
1259,No tiene datos
1260,No tiene datos
1261,No tiene datos
1262,No tiene datos
1263,No tiene datos
1264,No tiene datos
1265,No tiene datos
1266,No tiene datos
1267,No tiene datos
1268,No tiene datos
1269,No tiene datos
1270,No tiene datos
1271,68
1272,No tiene datos
1273,No tiene datos
1274,No tiene datos
1275,No tiene datos
1276,No tiene datos
1277,No tiene datos
1278,No tiene datos
1279,No tiene datos
1280,No tiene datos
1281,No tiene datos
1282,No tiene datos
1283,No tiene datos
1284,No tiene datos
1285,No tiene datos
1286,No tiene datos
1287,No tiene datos
1288,No tiene datos
1289,No tiene datos
1290,No tiene datos
1291,No tiene datos
1292,No tiene datos
1293,No tiene datos
1294,No tiene datos
1295,No tiene datos
1296,No tiene datos
1297,No tiene datos
1298,No tiene datos
1299,No tiene datos
1300,No tiene datos
1301,No tiene datos
1302,No tiene datos
1303,No tiene datos
1304,No tiene datos
1305,No tiene datos
1306,No tiene datos
1307,No tiene datos
1308,No tiene datos
1309,No tiene datos
1310,No tiene datos
1311,No tiene datos
1312,No tiene datos
1313,No tiene datos
1314,No tiene datos
1315,No tiene datos
1316,No tiene datos
1317,No tiene datos
1318,No tiene datos
1319,No tiene datos
1320,No tiene datos
1321,No tiene datos
1322,No tiene datos
1323,No tiene datos
1324,No tiene datos
1325,No tiene datos
1326,No tiene datos
1327,No tiene datos
1328,No tiene datos
1329,No tiene datos
1330,No tiene datos
1331,No tiene datos
1332,No tiene datos
1333,No tiene datos
1334,No tiene datos
1335,No tiene datos
1336,No tiene datos
1337,No tiene datos
1338,No tiene datos
1339,No tiene datos
1340,No tiene datos
1341,No tiene datos
1342,No tiene datos
1343,No tiene datos
1344,No tiene datos
1345,No tiene datos
1346,71
1347,No tiene datos
1348,No tiene datos
1349,No tiene datos
1350,No tiene datos
1351,44
1352,67
1353,28
1354,No tiene datos
1355,62
1356,80
1357,No tiene datos
1358,No tiene datos
1359,No tiene datos
1360,No tiene datos
1361,No tiene datos
1362,No tiene datos
1363,No tiene datos
1364,No tiene datos
1365,No tiene datos
1366,No tiene datos
1367,No tiene datos
1368,No tiene datos
1369,No tiene datos
1370,No tiene datos
1371,36
1372,No tiene datos
1373,No tiene datos
1374,37
1375,No tiene datos
1376,No tiene datos
1377,No tiene datos
1378,25
1379,No tiene datos
1380,No tiene datos
1381,37
1382,No tiene datos
1383,No tiene datos
1384,No tiene datos
1385,No tiene datos
1386,83
1387,No tiene datos
1388,No tiene datos
1389,No tiene datos
1390,No tiene datos
1391,47
1392,No tiene datos
1393,No tiene datos
1394,67
1395,75
1396,No tiene datos
1397,22
1398,No tiene datos
1399,No tiene datos
1400,No tiene datos
1401,45
1402,No tiene datos
1403,44
1404,No tiene datos
1405,No tiene datos
1406,No tiene datos
1407,No tiene datos
1408,No tiene datos
1409,No tiene datos
1410,No tiene datos
1411,No tiene datos
1412,No tiene datos
1413,0
1414,No tiene datos
1415,No tiene datos
1416,No tiene datos
1417,No tiene datos
1418,No tiene datos
1419,No tiene datos
1420,98
1421,No tiene datos
1422,No tiene datos
1423,No tiene datos
1424,No tiene datos
1425,No tiene datos
1426,No tiene datos
1427,51
1428,No tiene datos
1429,No tiene datos
1430,No tiene datos
1431,No tiene datos
1432,No tiene datos
1433,66
1434,57
1435,No tiene datos
1436,75
1437,29
1438,No tiene datos
