,0
0,No tiene datos
1,No tiene datos
2,71
3,No tiene datos
4,No tiene datos
5,No tiene datos
6,No tiene datos
7,No tiene datos
8,No tiene datos
9,No tiene datos
10,53
11,No tiene datos
12,No tiene datos
13,40
14,No tiene datos
15,No tiene datos
16,No tiene datos
17,No tiene datos
18,No tiene datos
19,No tiene datos
20,No tiene datos
21,No tiene datos
22,No tiene datos
23,66
24,No tiene datos
25,45
26,No tiene datos
27,No tiene datos
28,No tiene datos
29,No tiene datos
30,No tiene datos
31,20
32,No tiene datos
33,No tiene datos
34,No tiene datos
35,No tiene datos
36,No tiene datos
37,81
38,No tiene datos
39,No tiene datos
40,No tiene datos
41,No tiene datos
42,No tiene datos
43,No tiene datos
44,No tiene datos
45,No tiene datos
46,No tiene datos
47,No tiene datos
48,No tiene datos
49,No tiene datos
50,No tiene datos
51,18
52,No tiene datos
53,No tiene datos
54,No tiene datos
55,No tiene datos
56,38
57,No tiene datos
58,No tiene datos
59,No tiene datos
60,No tiene datos
61,No tiene datos
62,No tiene datos
63,No tiene datos
64,No tiene datos
65,No tiene datos
66,No tiene datos
67,No tiene datos
68,No tiene datos
69,No tiene datos
70,No tiene datos
71,No tiene datos
72,No tiene datos
73,No tiene datos
74,No tiene datos
75,No tiene datos
76,No tiene datos
77,No tiene datos
78,No tiene datos
79,No tiene datos
80,No tiene datos
81,83
82,No tiene datos
83,No tiene datos
84,No tiene datos
85,No tiene datos
86,No tiene datos
87,53
88,No tiene datos
89,No tiene datos
90,No tiene datos
91,No tiene datos
92,82
93,No tiene datos
94,No tiene datos
95,No tiene datos
96,No tiene datos
97,67
98,No tiene datos
99,48
100,No tiene datos
101,No tiene datos
102,No tiene datos
103,No tiene datos
104,No tiene datos
105,No tiene datos
106,No tiene datos
107,No tiene datos
108,No tiene datos
109,No tiene datos
110,No tiene datos
111,61
112,No tiene datos
113,No tiene datos
114,No tiene datos
115,No tiene datos
116,No tiene datos
117,No tiene datos
118,No tiene datos
119,No tiene datos
120,No tiene datos
121,No tiene datos
122,No tiene datos
123,No tiene datos
124,No tiene datos
125,No tiene datos
126,No tiene datos
127,No tiene datos
128,25
129,No tiene datos
130,No tiene datos
131,No tiene datos
132,No tiene datos
133,No tiene datos
134,No tiene datos
135,No tiene datos
136,No tiene datos
137,No tiene datos
138,No tiene datos
139,No tiene datos
140,No tiene datos
141,No tiene datos
142,87
143,No tiene datos
144,No tiene datos
145,No tiene datos
146,No tiene datos
147,No tiene datos
148,No tiene datos
149,No tiene datos
150,53
151,No tiene datos
152,No tiene datos
153,No tiene datos
154,No tiene datos
155,No tiene datos
156,No tiene datos
157,10
158,40
159,No tiene datos
160,No tiene datos
161,No tiene datos
162,No tiene datos
163,No tiene datos
164,No tiene datos
165,No tiene datos
166,No tiene datos
167,No tiene datos
168,12
169,No tiene datos
170,No tiene datos
171,No tiene datos
172,23
173,67
174,85
175,93
176,36
177,No tiene datos
178,No tiene datos
179,No tiene datos
180,86
181,No tiene datos
182,No tiene datos
183,No tiene datos
