,0,1,2,3,4,5,6,7
27,4.9,49,Brett Parker,Nina Colman,"Jonathan 'Jack' Harris is a waiter, who hopes to start a newspaper called The Tribeca Times, after the part of Manhattan where he lives, and while struggling to find advertisers and stories decides to do one on Internet dating services, so he joins one and seems to have found a great match, maybe even a soul-mate. He doesn't know it's actually his apartment block neig... Leer todo",94,Meet Prince Charming,tt0194143
28,5.7,80,Matt Bissonnette,"Matt Bissonnette, Steven Clark","Ted, his girlfriend Jo, and his brother Johnny are small-time robbers in Montreal. The brothers spend their time watching TV, while Jo rereads Leonard Cohen's novel ""Beautiful Losers"" and attends writing classes. Luka, a Czech immigrant, picks up Jo when he sees her shoplifting. When Johnny surprises Luka kissing Jo, he attacks him. In the ensuing fight Jo accidentall... Leer todo",87,Looking for Leonard,tt0193545
29,No tiene datos,No tiene datos,Marco Colli,"Marco Colli, Gianni Di Gregorio, Idolina Landolfi","Two spinsters, one a religious fanatic in thrall to a TV preacher, live with their elderly mother, a corrupt, randy maid and a pet monkey inherited from their dead father in an apartment of the Dickensian condo they own. The maid marries for money but scorns her husband in favour of a younger lover. Meanwhile the pet monkey secretly lets himself out of his cage at nig... Leer todo",No tiene datos,Viva la scimmia,tt0195131
30,4.8,No tiene datos,João Mário Grilo,"João Mário Grilo, Luís Carmelo","Twenty-five years after leaving school, a group of former students decide to organise a reunion. But, contrary to expectations, these ""old boys"" realise that time has accentuated their differences. The atmosphere is tense, the conversation taut and the old grudges resurface in no time.",89,A Falha,tt0197448
31,4.3,No tiene datos,Michael Paul Girard,Michael Paul Girard,"An attractive woman detective, expert in cases of conjugal infidelity is hired by a mysterious millionaire, unaware that she will get involved in a feverish love triangle to gather all the evidence she needs to finish the case.",90,Secret Pleasures,tt0199007
32,5.0,No tiene datos,Renzo Badolisani,"Renzo Badolisani, Domenico Rafele",No tiene argumento,102,Tornare indietro,tt0202457
33,6.8,No tiene datos,Giulio Cingoli,"Dario Fo, Giulio Cingoli, Luca Raffaelli",No tiene argumento,No tiene datos,Johan Padan a la descoverta de le Americhe,tt0202416
34,6.4,No tiene datos,Bret Carr,Bret CarrQuinn K. RedekerMary Helen Shashy,No tiene datos,76,2 Birds with 1 Stallone,tt0206778
35,6.7,No tiene datos,Hans Canosa,"Hans Canosa, Gabrielle Zevin",1960's Harvard Professor is having an affair with his (male) teaching assistant.,80,Alma Mater,tt0206098
36,5.7,No tiene datos,John Bolton,John Bolton,No tiene datos,106,The Water Game,tt0207826
37,4.6,No tiene datos,Manuel Pradal,Manuel Pradal,"An F.B.I. Agent from America and his bride and young child travel to the Sicilian island of Ginostra, to solve the murder of a key witness.",139,El misterio de Ginostra,tt0208491
38,5.8,46,Larry Clark,"Harmony Korine, Larry Clark",Ken Park trata sobre la vida de varios patinadores de california y de su relación con sus padres y sin ellos.,93,Ken Park,tt0209077
39,4.8,No tiene datos,Julie Delpy,"Julie Delpy, Emily Wagner","Al, a French living in Los Angeles, organized a barbecue for the birthday party of her friend V., whose party is filmed. As Jimmy, Al's boyfriend, does not come and left no news, Al and V. go looking for him.",90,Looking for Jimmy,tt0210816
40,5.5,86,Alfredo Ramos,Alfredo Ramos,Carefree days come to an end when three Latino friends face personal crises in Los Angeles.,91,Road Dogz,tt0210953
41,5.7,No tiene datos,Leonel Vieira,"Ferreira de Castro, Izaías Almada, João Nunes","Young man, of Portuguese nobility ascendancy, starts working in a rubber plantation in the Amazon, in 1912, and falls in love with pretty Yayá, a married woman.",105,La selva,tt0210971
42,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,No tiene datos,tt0209464
43,6.3,No tiene datos,Giuseppe Ferrara,Armenia Balducci,"This movie attempts to reconstruct the bankruptcy of the Banco Ambrosiano and its liaisons with the Vatican and the Masonry through the story of its President Roberto Calvi (Omero Antonutti), who was notoriously found dead under the Blackfriars Bridge in London, England in June 1982.",125,Los banqueros de Dios,tt0212797
44,7.3,88,Rolf de Heer,Rolf de Heer,"Fanatic is a government trooper who is heading an expedition to find an Aboriginal man accused of murdering a white woman. Others in the expedition are the Follower, a greenhorn trooper, the Veteran, and the Tracker.",90,The Tracker,tt0212132
45,7.5,No tiene datos,James Hill,James Hill,Enzo Morelli (Michael) puts his dream of becoming an opera singer aside so he can send his son to Harvard.,105,The Streetsweeper,tt0213266
46,4.7,No tiene datos,Malena Roncayolo,Claudia Nazoa,"Highlighting the Mexican star Luis Felipe Tovar, (""The Mexican"" ""La Virgen la lujuria"" Cilantro y Perejil"", ""Atletico San Pancho"", ""Todo el Poder"" and others) and the sexy Latin American actress Mimi Lazo. In the small town of San Jorge, a 12- year-old girl watches in horror as her father, a local telegraph operator is thrown in prison by the local military dictatorsh... Leer todo",104,Asesinato en lunes de carnaval,tt0213824
47,7.2,No tiene datos,Pedro Carvajal,"Ana Álvarez, José Antonio Rodríguez, Eloy Azorín",No tiene argumento,No tiene datos,Cuba,tt0215687
48,5.3,71,Myra Paci,Myra Paci,"A young woman, coping with the death of her father, embarks on a quest to meet a Hollywood star with whom she has become obsessed.",88,Searching for Paradise,tt0217787
49,5.2,No tiene datos,Richard Friedman,"Darrel Campbell, Gene Bicknell",An escaped convict redeems himself through the love of two young children.,111,La redención del fantasma,tt0219272
50,6.7,No tiene datos,P.J. Hogan,Jocelyn Moorhouse,"Grace, a la que su marido acaba de dejar, se marcha a Inglaterra para asistir al entierro de su cantante favorito Victor, y conoce a Dirk, la pareja del mismo, que vuelve a Chicago con ella esperando encontrar al asesino de Victor.",124,Amor sin condiciones,tt0219374
51,7.5,73,Martin Scorsese,Jay Cocks,"En 1862, Amsterdam Vallon regresa a la zona de Five Points, en Nueva York, en busca de venganza contra Bill el Carnicero, el asesino de su padre.",167,Gangs of New York,tt0217505
52,5.8,60,James Slocum,James Slocum,"Rob Baskin, a businessman who travels to Lake Tahoe in order to spread the ashes of his late mother, meets Ann Field, a woman who'll change his life forever.",88,The Last Place on Earth,tt0218390
53,6.6,No tiene datos,Charles Binamé,Pierre Billon,A young woman is forced to marry an old greedy man to save her father from bankruptcy although she has promised her heart to another man.,110,Séraphin: un homme et son péché,tt0221013
54,5.4,No tiene datos,Zev Berman,Deborah Pryor,A woman becomes immersed in a brutal love triangle when an unwelcomed admirer kills her abusive husband even though she's already having an affair.,103,Juego deshonesto,tt0220343
55,5.4,48,K.S. Adiyaman,K.S. Adiyaman,"Gopal's blissful married life with Radha blemishes when Radha gets obsessed with the career of her friend, Suraj, who is a singer. Ripped apart by jealousy, Gopal deserts Radha.",174,Hum Tumhare Hain Sanam,tt0222024
56,6.3,No tiene datos,Carlos Orgambide,Ricardo CorderoPedro Orgambide,No tiene datos,90,Temporal,tt0226514
57,6.0,No tiene datos,Laurent Bouhnik,"Laurent Bouhnik, Gilles Taurand, Stefan Zweig","Set in 1913, 1936 and 2001. When he returns to casino and sea-side resort of his early adolescence, Louis.",107,24 heures de la vie d'une femme,tt0229187
58,4.8,No tiene datos,Inês de Medeiros,"Isabel de Castro, Milton Fernandes, Vilson Sousa",No tiene argumento,70,O Fato Completo Ou À Procura De Alberto,tt0228293
59,No tiene datos,No tiene datos,Rodney Washington,Rodney Washington,No tiene datos,70,McAllister Affair: The Gathering,tt0229567
60,5.6,No tiene datos,Scott Kalvert,Paul Kimatian,"Bobby, a member of The Deuces, and the sister of the rival Vipers member fall in love, promoting a street war between the two factions.",100,Jóvenes salvajes,tt0231448
61,6.9,No tiene datos,Lucas Belvaux,Lucas Belvaux,"After nearly fifteen years behind bars, lefty revolutionary Bruno escapes and heads back to Grenoble, France. His plan? Settle some old scores, hook up with his foxy ex-lover, and avoid the cop on his tail. An unexpected event, however, brings cop and crook closer than they ever could have expected.",111,Escapando,tt0233418
62,7.4,No tiene datos,Gino Cabanas,"Gino Cabanas, Steve Stavrakis","The story of two brothers from a small Floridian coastal fishing town. Ray, the conflicted attorney, is haunted by the memory of his recently deceased brother Paul.",90,The Cross,tt0234797
63,5.5,No tiene datos,Andrew Davis,Ronald Roose,"Cuando su familia es asesinada en un acto terrorista, un bombero va en busca del responsable.",108,Daño colateral,tt0233469
64,7.0,No tiene datos,Lucas Belvaux,Lucas Belvaux,"In the final chapter of director Belvaux's trilogy, Pascal, now a disgraced cop, seeks redemption by capturing Bruno, a fugitive with a strange connection to Agnes, Pascal's heroin-addicted wife.",124,Después de la vida,tt0233230
65,7.0,63,D.J. Caruso,Tony Gayton,"Después de un trágico incidente, un hombre se adentra en un mundo poblado por matones y adictos a la velocidad.",103,The Salton Sea,tt0235737
66,4.7,56,Kevin R. Hershberger,Kevin R. Hershberger,"The story unfolds over a single horrifying night - six soldiers lost in the wicked, burning woods during the Battle of the Wilderness in 1864. When the morning sun rises, it exposes an incredible new danger.",102,Wicked Spring,tt0235048
67,5.2,No tiene datos,Michael Rymer,Anne Rice,"El vampiro Lestat se convierte en estrella del rock cuya música despierta a la Reina de los Vampiros, tan bella como monstruosa.",104,La reina de los condenados,tt0238546
68,7.5,86,Sanjay Leela Bhansali,Sarat Chandra Chattopadhyay,"Después de que su adinerada familia le prohíbe casarse con la mujer de la que está enamorado, la vida de Devdas cae en una espiral descendente mientras toma alcohol y una vida de vicio para aliviar el dolor.",185,Devdas,tt0238936
69,7.3,40,Kurt Wimmer,Kurt Wimmer,"En un futuro opresivo en el que todas las formas de sentimiento son ilegales, un hombre encargado de hacer cumplir la ley se levanta para derrocar el sistema y el Estado.",107,Equilibrium,tt0238380
70,6.9,No tiene datos,Peter Care,Chris Fuhrman,"A group of Catholic school friends, after being caught drawing an obscene comic book, plan a heist that will outdo their previous prank and make them local legends.",104,La peligrosa vida de los altar boys,tt0238924
71,4.9,No tiene datos,Ralph Clemente,Stephen Bowles,"When a young Japanese woman is found murdered outside a small Florida town in December of 1941, hard-drinking police chief John Haleran sets out to unravel the mystery. A trail of cryptic clues leads him to a nearby U.S. military base, where he learns that what appears to be a simple homicide is actually far more ominous. In fierce pursuit of the truth and unwittingly... Leer todo",91,Florida City,tt0241453
72,6.6,No tiene datos,Alexander Johnston,"Alexander Johnston, Jerry Bledsoe","Two small town boys sharing paper route. ""Whitey"" Black lives in poverty with his single mother and young middle class Jerry Barlow. When Whitey wants to buy his small sister a doll it all opens their eyes to the vastness life around them.",93,El pequeño angel,tt0240340
73,6.3,25,Michael Petroni,Michael Petroni,"A man returns to Victoria, Australia, where he grew up, and encounters a mysterious woman who reminds him of someone he once knew.",101,Till Human Voices Wake Us,tt0240980
74,4.5,No tiene datos,Helle Ryslinge,"Sven Wanda Omann, Helle Ryslinge",A warm-hearted and biting romance about the impossible love between a Danish woman and a Turkish man,120,Halalabad Blues,tt0241518
75,6.5,No tiene datos,Shekhar Kapur,A.E.W. Mason,"Un oficial británico renuncia a su posición justo antes de una batalla, y más tarde recibe cuatro plumas blancas de allegados como símbolos de lo que consideran su cobardía.",132,Las cuatro plumas,tt0240510
76,4.9,No tiene datos,Gilles de Maistre,"Christophe Graizon, Gilles de Maistre","Alain, of North African origin, lives with the memory of his sister, kidnapped before his eyes by a neo-Nazi group when they were children. Added to this is the murder of his best friend by the head of security of ""La Ligue patriotique"", a powerful far-right party. Alain then decides, both out of personal vengeance and political conviction, to assassinate Hugues Henry... Leer todo",97,Féroce,tt0240521
77,2.0,No tiene datos,K. Asher Levin,K. Asher Levin,"A harrowing, modern day morality tale about kids who have had too much, too soon.",85,Sweetie Pie,tt0241998
78,6.4,No tiene datos,Grant Heslov,Candice Levenson,A cynical man returns to his family's homestead in Texas and starts up a golf course with his brothers and sisters.,88,Par 6,tt0244122
79,5.8,75,Peter Gilbert,"Davida Wills Hurwin, Kara Lindstrom","Their love of dance, and their friendship, is challenged for two high school girls when one is diagnosed with cancer.",100,A Time for Dancing,tt0242953
80,5.6,No tiene datos,Patrick Harkins,John Hodge,A rivalry develops between a showbiz veteran and an upstart newcomer.,85,The Final Curtain (El último acto),tt0243904
81,5.1,No tiene datos,James Dalthorp,Steven Owsley,"Texas cop Thomas Carruth is not just any police officer. He delivers justice -- justice at any price -- with just his badge and trusty bullet, and he's a one-man judge, jury and executioner looking for any punks who do wrong.",95,Cottonmouth,tt0244471
82,5.9,42,Austin Chick,Austin Chick,"Three friends begin a dangerous three-way relationship that spirals out of control, leading to dire consequences that haunt them ten years later.",91,XX/XY,tt0245573
83,4.9,No tiene datos,Fisher Stevens,Patrick Breen,A group of thirtysomethings having problems with fidelity gets an opportunity to turn back the clock.,89,Beso en Manhattan,tt0245479
84,4.0,No tiene datos,Masashi Nagadoi,"Masashi Nagadoi, Adam Baratta","A handsome L.A. playboy juggles four gorgeous girlfriends, searches for true love, and gets involved in an elaborate con.",84,Cruel Game,tt0245522
85,6.1,33,John Woo,John Rice,"Dos marines estadounidenses de la Segunda Guerra Mundial son asignados para proteger a los marines navajos, que utilizan su idioma nativo como una clave de radio inquebrantable.",134,Windtalkers,tt0245562
86,7.7,No tiene datos,Kevin Reynolds,Alexandre Dumas,"Un joven, falsamente encarcelado por su celoso ""amigo"", escapa y utiliza un tesoro escondido para vengarse.",134,La venganza del conde de Montecristo,tt0245844
87,4.6,No tiene datos,James Gavin Bedford,"Jesse Graham, William Shakespeare",Turf wars. Violent betrayals. A family torn apart by greed and jealousy. And one man who wants to rule the gang-ravaged streets of East L.A.,91,King Rikki,tt0246890
88,6.9,No tiene datos,Tom Tykwer,Krzysztof Kieslowski,"Una mujer se toma la justicia por su mano después de que la policía ignore sus súplicas para arrestar al hombre responsable de la muerte de su esposo, y acaba bajo arresto por asesinato y enamorándose de un oficial.",97,"Heaven, de Tom Tykwer",tt0246677
89,6.6,No tiene datos,Greg Pritikin,Greg Pritikin,"An ex-office worker becomes a ventriloquist, leading to a date with his unemployment counselor; but his quirky family and a gauche female friend may thwart his new career and love life.",91,"Dummy, el muñeco",tt0246592
90,6.3,No tiene datos,Agnieszka Holland,"Agnieszka Holland, Roman Gren, Arlene Sarner",A desperate mother (Miranda Otto) in the midst of a failing marriage travels to Poland in search of a mysterious man rumored to have miraculous healing powers in this fantastic romantic drama.,118,Julie vuelve a casa,tt0246719
91,4.7,10,Jesse Vaughan,Bradley Allenstein,"Una estrella del baloncesto es expulsada de la NBA cuando sus travesuras en la cancha van demasiado lejos, así que se hace pasar por mujer y se une a la WUBA.",91,Juwanna Mann,tt0247444
