,0
393,No tiene datos
394,No tiene datos
395,82
396,No tiene datos
397,No tiene datos
398,No tiene datos
399,No tiene datos
400,No tiene datos
401,No tiene datos
402,No tiene datos
403,No tiene datos
404,No tiene datos
405,No tiene datos
406,No tiene datos
407,No tiene datos
408,86
409,No tiene datos
410,No tiene datos
411,57
412,52
413,No tiene datos
414,No tiene datos
415,18
416,No tiene datos
417,No tiene datos
418,No tiene datos
419,No tiene datos
420,No tiene datos
421,80
422,No tiene datos
423,No tiene datos
424,No tiene datos
425,No tiene datos
426,No tiene datos
427,No tiene datos
428,No tiene datos
429,No tiene datos
430,26
431,No tiene datos
432,No tiene datos
433,67
434,No tiene datos
435,No tiene datos
436,64
437,No tiene datos
438,75
439,63
440,No tiene datos
441,No tiene datos
442,No tiene datos
443,No tiene datos
444,No tiene datos
445,No tiene datos
446,No tiene datos
447,No tiene datos
448,43
449,No tiene datos
450,No tiene datos
451,No tiene datos
452,No tiene datos
453,No tiene datos
454,No tiene datos
455,17
456,53
457,No tiene datos
458,No tiene datos
459,No tiene datos
460,No tiene datos
461,No tiene datos
462,69
463,No tiene datos
464,No tiene datos
465,No tiene datos
466,No tiene datos
467,No tiene datos
468,No tiene datos
469,No tiene datos
470,No tiene datos
471,No tiene datos
472,57
473,No tiene datos
474,0
475,No tiene datos
476,No tiene datos
477,No tiene datos
478,No tiene datos
479,No tiene datos
480,No tiene datos
481,66
482,No tiene datos
483,85
484,No tiene datos
485,No tiene datos
486,No tiene datos
487,No tiene datos
488,No tiene datos
489,No tiene datos
490,No tiene datos
491,No tiene datos
492,No tiene datos
493,No tiene datos
494,No tiene datos
495,No tiene datos
496,No tiene datos
497,No tiene datos
498,No tiene datos
499,No tiene datos
500,No tiene datos
501,No tiene datos
502,51
503,70
504,No tiene datos
505,No tiene datos
506,42
507,No tiene datos
508,67
509,No tiene datos
510,No tiene datos
511,No tiene datos
512,No tiene datos
513,No tiene datos
514,No tiene datos
515,No tiene datos
516,No tiene datos
517,No tiene datos
518,No tiene datos
519,No tiene datos
520,No tiene datos
521,No tiene datos
522,No tiene datos
523,No tiene datos
524,30
525,No tiene datos
526,No tiene datos
527,No tiene datos
528,No tiene datos
529,No tiene datos
530,No tiene datos
531,No tiene datos
532,7
533,No tiene datos
534,No tiene datos
535,No tiene datos
536,No tiene datos
537,No tiene datos
538,No tiene datos
539,No tiene datos
540,60
541,No tiene datos
542,No tiene datos
543,No tiene datos
544,No tiene datos
545,No tiene datos
546,No tiene datos
547,No tiene datos
548,No tiene datos
549,No tiene datos
550,No tiene datos
551,53
552,No tiene datos
553,No tiene datos
554,No tiene datos
555,No tiene datos
556,No tiene datos
557,No tiene datos
558,No tiene datos
559,31
560,No tiene datos
