,0,1,2,3,4,5
0,comedia,pelicula,This Wretched Life,2010.0,7.0,tt0331312
1,comedia,pelicula,Blind Sided,2010.0,0.0,tt0337882
2,comedia,pelicula,Anderson's Cross,2010.0,5.0,tt0393049
3,comedia,pelicula,Tangled,2010.0,12.0,tt0398286
4,comedia,pelicula,Venus & Vegas,2010.0,11.0,tt0423474
5,comedia,pelicula,Dinner for Schmucks,2010.0,8.0,tt0427152
6,comedia,pelicula,Toy Story 3,2010.0,6.0,tt0435761
7,comedia,pelicula,Diary of a Bad Lad,2010.0,2.0,tt0449005
8,comedia,pelicula,Scott Pilgrim vs. the World,2010.0,11.0,tt0446029
9,comedia,pelicula,El hada buena - Una fábula peronista,2010.0,4.0,tt0454155
10,comedia,pelicula,"Guns, Drugs and Dirty Money",2011.0,,tt0464032
11,comedia,pelicula,Piranha 3D,2010.0,9.0,tt0464154
12,comedia,pelicula,Harlem Hostel,2010.0,2.0,tt0469094
13,comedia,pelicula,Stiffs,2010.0,,tt0476023
14,comedia,pelicula,Barry Munday,2010.0,3.0,tt0482461
15,comedia,pelicula,A Woman Is a Woman,2010.0,,tt0483839
16,comedia,pelicula,PrimeMates,2010.0,1.0,tt0490199
17,comedia,pelicula,Ramona and Beezus,2010.0,7.0,tt0493949
18,comedia,pelicula,Furry Vengeance,2010.0,7.0,tt0492389
19,comedia,pelicula,Love & Other Drugs,2011.0,1.0,tt0758752
20,comedia,pelicula,Waste of Space,2010.0,4.0,tt0765485
21,comedia,pelicula,The Guardians,2010.0,,tt0800054
22,comedia,pelicula,It's Kind of a Funny Story,2010.0,10.0,tt0804497
23,comedia,pelicula,Tooth Fairy,2010.0,1.0,tt0808510
24,comedia,pelicula,Plumíferos - Aventuras voladoras,2010.0,2.0,tt0811021
25,comedia,pelicula,She's Out of My League,2010.0,6.0,tt0815236
26,comedia,pelicula,Valentine's Day,2010.0,2.0,tt0817230
27,comedia,pelicula,Flipped,2010.0,9.0,tt0817177
28,comedia,pelicula,Return to Yucca Flats: Desert Man-Beast,2010.0,1.0,tt0826532
29,comedia,pelicula,The Kids Are All Right,2010.0,12.0,tt0842926
30,comedia,pelicula,Gangster Exchange,2010.0,2.0,tt0846004
31,comedia,pelicula,Fauj Mein Mauj,2010.0,,tt0847735
32,comedia,pelicula,2001 Maniacs: Field of Screams,2010.0,2.0,tt0858411
33,comedia,pelicula,Wide Blue Yonder,2012.0,5.0,tt0858500
34,comedia,pelicula,Zenitram,2010.0,5.0,tt0861747
35,comedia,pelicula,Touch Wood,2010.0,0.0,tt0870208
36,comedia,pelicula,Please Give,2010.0,7.0,tt0878835
37,comedia,pelicula,AIR: The Musical,2010.0,4.0,tt0882741
38,comedia,pelicula,Repo,2010.0,,tt0887161
39,comedia,pelicula,The Switch,2010.0,10.0,tt0889573
40,comedia,pelicula,Letters to Juliet,2010.0,6.0,tt0892318
41,comedia,pelicula,Shrek Forever After,2010.0,7.0,tt0892791
42,comedia,pelicula,How to Train Your Dragon,2010.0,3.0,tt0892769
43,comedia,pelicula,Movin' In,2010.0,8.0,tt0910926
44,comedia,pelicula,Jackboots on Whitehall,2010.0,10.0,tt0915463
45,comedia,pelicula,De gelukkige huisvrouw,2010.0,4.0,tt0920459
46,comedia,pelicula,Pizza with Bullets,2021.0,,tt0924266
47,comedia,pelicula,The Penthouse,2010.0,3.0,tt0929618
48,comedia,pelicula,Private Security Officer: Los Angeles,2010.0,12.0,tt0960827
49,comedia,pelicula,Made in Romania,2010.0,,tt0963177
50,comedia,pelicula,Pushin' Up Daisies,2010.0,6.0,tt0964544
51,comedia,pelicula,L'imbroglio nel lenzuolo,2010.0,6.0,tt0965429
52,comedia,pelicula,The Chosen One,2010.0,9.0,tt0970926
53,comedia,pelicula,Little Fockers,2010.0,12.0,tt0970866
54,comedia,pelicula,Lottery Ticket,2010.0,8.0,tt0979434
55,comedia,pelicula,Multiple Sarcasms,2010.0,4.0,tt0984210
56,comedia,pelicula,Adventure Scouts,2010.0,10.0,tt0994917
57,comedia,pelicula,Megamind,2010.0,12.0,tt1001526
58,comedia,pelicula,The Steamroom,2010.0,,tt1008046
59,comedia,pelicula,Knight and Day,2010.0,7.0,tt1013743
60,comedia,pelicula,Dylan Dog: Dead of Night,2011.0,4.0,tt1013860
61,comedia,pelicula,Prime of Your Life,2010.0,,tt1016226
62,comedia,pelicula,Jeffie Was Here,2010.0,,tt1019442
63,comedia,pelicula,Piel de Lija,2010.0,5.0,tt10229082
64,comedia,pelicula,RiffTrax: High School Musical,2010.0,,tt10263222
65,comedia,pelicula,The Bounty Hunter,2010.0,4.0,tt1038919
66,comedia,pelicula,Let the Game Begin,2010.0,1.0,tt1041778
67,comedia,pelicula,Not Another B Movie,2015.0,,tt1043757
68,comedia,pelicula,Aaj Kal,2010.0,2.0,tt1047439
69,comedia,pelicula,House Broken,2011.0,7.0,tt1054631
70,comedia,pelicula,As Melhores Coisas do Mundo,2010.0,4.0,tt1054677
71,comedia,pelicula,Life as We Know It,2010.0,10.0,tt1055292
72,comedia,pelicula,Spud,2010.0,12.0,tt1059969
73,comedia,pelicula,For Christ's Sake,2011.0,12.0,tt1067107
74,comedia,pelicula,The Vampires of Zanzibar,2010.0,1.0,tt1067090
75,comedia,pelicula,Quincas Berro d'Água,2010.0,5.0,tt1068962
76,comedia,pelicula,Habana Eva,2010.0,5.0,tt1069246
77,comedia,pelicula,Good Intentions,2010.0,3.0,tt1070781
78,comedia,pelicula,Elvis & Madona,2011.0,9.0,tt1071211
79,comedia,pelicula,Jelly,2010.0,,tt1071877
80,comedia,pelicula,See You in September,2010.0,4.0,tt1073246
81,comedia,pelicula,Psychosomatika,2011.0,12.0,tt1078591
82,comedia,pelicula,10 Years Later,2010.0,3.0,tt1079974
83,comedia,pelicula,Jerry Cotton,2010.0,3.0,tt1080019
84,comedia,pelicula,The University Days of a Dog,2010.0,9.0,tt10912908
85,comedia,pelicula,Oru Avadhikaalam,2010.0,,tt10940482
86,comedia,pelicula,Amor en tránsito,2010.0,12.0,tt1095399
87,comedia,pelicula,Trevor Boris: Over Easy,2010.0,,tt10966982
88,comedia,pelicula,Les princes de la nuit,2010.0,0.0,tt1101041
89,comedia,pelicula,Peep World,2011.0,3.0,tt1103273
90,comedia,pelicula,Killers,2010.0,6.0,tt1103153
91,comedia,pelicula,Cornhole: The Movie,2010.0,5.0,tt1103269
92,comedia,pelicula,Something Like a Business,2010.0,,tt1103255
93,comedia,pelicula,Dirty Girl,2011.0,7.0,tt1107319
94,comedia,pelicula,Mars,2010.0,12.0,tt1109488
95,comedia,pelicula,Prigode kmeta Pajota,2010.0,3.0,tt11157618
96,comedia,pelicula,Jackass 3D,2010.0,10.0,tt1116184
97,comedia,pelicula,A Fork in the Road,2010.0,4.0,tt1117386
98,comedia,pelicula,Love Ranch,2011.0,1.0,tt1125929
99,comedia,pelicula,Morning Glory,2011.0,1.0,tt1126618
100,comedia,pelicula,Mission London,2010.0,4.0,tt1127702
101,comedia,pelicula,Miss Nobody,2011.0,6.0,tt1129427
102,comedia,pelicula,Swishbucklers,2010.0,5.0,tt1130092
103,comedia,pelicula,Maria Costa's Macho Men and the Women Who Love Them,2010.0,1.0,tt1131737
104,comedia,pelicula,Donkeys,2010.0,10.0,tt1134846
105,comedia,pelicula,Undercover Rascals,2010.0,10.0,tt11361770
106,comedia,pelicula,The Story of F***,2010.0,10.0,tt1137482
107,comedia,pelicula,Holyman Undercover,2010.0,4.0,tt1144546
108,comedia,pelicula,Rudolfa mantojums,2010.0,1.0,tt1149607
109,comedia,pelicula,El kaserón,2010.0,4.0,tt1149619
110,comedia,pelicula,Heels,2012.0,2.0,tt1160371
111,comedia,pelicula,Una hora más en Canarias,2010.0,7.0,tt1161411
112,comedia,pelicula,Harvey Putter and the Ridiculous Premise,2010.0,7.0,tt1161421
113,comedia,pelicula,Sint,2010.0,11.0,tt1167675
114,comedia,pelicula,Boston Girls,2010.0,,tt1168696
115,comedia,pelicula,"Qué Sera, Sera",2010.0,9.0,tt11704124
116,comedia,pelicula,The Myth of the American Sleepover,2011.0,4.0,tt1174042
117,comedia,pelicula,The Four-Faced Liar,2010.0,1.0,tt1174693
118,comedia,pelicula,Acorazado,2012.0,6.0,tt1174933
